charid,名前,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,十六夜 咲夜,0.1746323529411764,0.1485383197260995,0.1194365046957942,0.0663893321176202,0.0439863884859979,0.0418145015431267,0.0344213317589336,0.0343493718890732,0.0337454960412058,0.0322358375640113,0.0333418811637871,0.0318578816617971,0.0312789156239732,0.0286520502738379,0.0288814163685808,0.0315122088240605,0.0347033324208476,0.0378765817394601
1,霧雨 魔理沙,0.1746323529411764,0.1401106136423492,0.1602694977541854,0.0741395030772737,0.0539300457436126,0.0414065927299874,0.0344366007217129,0.0319981038160701,0.0313733459431152,0.0358022853929983,0.0386094816809308,0.0342765182882052,0.0339528436922867,0.0324129335767448,0.0335699213504699,0.0346140727513492,0.0409440415261843,0.0455442062868477
2,博麗 霊夢,0.1139705882352941,0.0771661838293389,0.0869742752143732,0.070948256211534,0.0547668191453754,0.0441695977095535,0.0393481170824065,0.0387532590661294,0.0374502708237261,0.0403168460915149,0.0391704330544603,0.0482071152914707,0.0403128646909309,0.0376263867434349,0.0388564787127204,0.0357657350374189,0.0395164056842083,0.0430744124967719
3,チルノ,0.09375,0.0171187779826178,0.0108207431604736,0.0188055618873945,0.0289384134776302,0.0200414065927299,0.0165057487644864,0.0151505095994311,0.0140843969580203,0.0110576419550969,0.0110801252257161,0.0102338952861584,0.0101178718856102,0.0109227987642185,0.0127734961239435,0.012118536947493,0.0146436627868699,0.0160715168764663
4,パチュリー・ノーレッジ,0.0845588235294117,0.0513563339478535,0.0212331563903634,0.0423410075222247,0.0345029565993528,0.026552554817557,0.0216768374924291,0.0203744963261436,0.0186684695528477,0.0167518314564005,0.0150815783568932,0.0140462165835976,0.0138832762416959,0.0132618312034826,0.0136141546586023,0.0141730703637567,0.0143040795040698,0.0142693091720284
5,橙,0.0790441176470588,0.037397945746642,0.0112290730910575,0.0089468885343059,0.0128305254936963,0.0107672533883368,0.0085709777734798,0.0073240104290116,0.0063973800833183,0.0052035962141632,0.0057537583742026,0.0058184772588784,0.0056348879631692,0.0052968333099283,0.0051285812617776,0.0051764611464456,0.0043799313210136,0.0048901367589931
6,フランドール・スカーレット,0.0588235294117647,0.0244930208058993,0.0195998366680277,0.0264987462958741,0.0348237197366953,0.0281226189285082,0.0273059951037526,0.0282578810144584,0.0305761159266235,0.0302514152789491,0.0319047771687448,0.0307610580754027,0.030976776859192,0.0285116205589102,0.0294625427381771,0.0340964266367047,0.0358121757932561,0.0459425601239567
7,レミリア・スカーレット,0.0514705882352941,0.042665262048986,0.0355247039608003,0.0392067472076589,0.0429962066272453,0.038058661905165,0.034339897290777,0.0328039819862526,0.0320650602221301,0.0280520139130051,0.0284589330170636,0.0284080433729668,0.0284501414387092,0.0276646538407527,0.0307658455670777,0.0332818362392407,0.0328564151786797,0.0356622838587025
8,アリス・マーガトロイド,0.0496323529411764,0.0484593099815643,0.0365455287872601,0.0523706405288351,0.0358975789356242,0.0312858363285128,0.0317492632725458,0.0302109504621948,0.0362075299156655,0.0296726254458059,0.0264181384962229,0.0244801024951955,0.0247867089157372,0.0225916303889903,0.0220489500231322,0.0190565999879617,0.0194324801014591,0.018980873521283
9,魅魔,0.025735294117647,0.0050039504872267,0.0026541445487954,0.0025074082516526,0.0073217672654245,0.0063110420146077,0.0051456404566437,0.0045176582128466,0.0034898353172897,0.0031475142354737,0.0028581808079836,0.0025311313532178,0.0027758999014272,0.0027296025839067,0.0027532977510973,0.0031901446600188,0.0033195998461479,0.0034780410881378
