,初出作品,キャラ集計ポイント比率,音楽集計ポイント比率,名前,回,回n,名前n
28,風神録,0.0,0.0,東方風神録,2.0,0.10526315789473684,0.8157894736842105
29,香霖堂,0.0,,,,,
30,鬼形獣,0.0,0.0,東方鬼形獣,2.0,0.10526315789473684,0.8421052631578947
31,Cradle,,0.0,Cradle,2.0,0.10526315789473684,0.0
32,トルテルマジック,,0.0047792444242147,トルテルマジック,2.0,0.10526315789473684,0.05263157894736842
33,メニュー,,0.0,メニュー,2.0,0.10526315789473684,0.07894736842105263
34,弾幕アマノジャク,,0.0,弾幕アマノジャク,2.0,0.10526315789473684,0.13157894736842105
35,夢時空,,0.0061447428311329,東方夢時空,2.0,0.10526315789473684,0.21052631578947367
36,幻想麻雀,,0.0,東方幻想麻雀,2.0,0.10526315789473684,0.34210526315789475
37,文花帖,,0.0,東方文花帖,2.0,0.10526315789473684,0.4473684210526316
38,非想天則,,0.0776058261265358,東方非想天則,2.0,0.10526315789473684,0.7894736842105263
39,神魔討綺伝 ,,0.0,神魔討綺伝 ,2.0,0.10526315789473684,0.868421052631579
40,秋霜玉,,0.0284478834774687,秋霜玉,2.0,0.10526315789473684,0.8947368421052632
41,秘封ナイトメアダイアリー,,0.0,秘封ナイトメアダイアリー,2.0,0.10526315789473684,0.9210526315789473
42,稀翁玉,,0.001820664542558,稀翁玉,2.0,0.10526315789473684,0.9473684210526315
43,黄昏酒場,,0.0,黄昏酒場,2.0,0.10526315789473684,0.9736842105263158
0,CD,0.0,,,,,
1,ダブルスポイラー,0.0,0.0,ダブルスポイラー,3.0,0.15789473684210525,0.02631578947368421
2,儚月抄,0.0,,,,,
3,剛欲異聞,0.0,0.0,東方剛欲異聞,3.0,0.15789473684210525,0.15789473684210525
4,地霊殿,0.0,0.0,東方地霊殿,3.0,0.15789473684210525,0.18421052631578946
5,天空璋,0.0,0.0,東方天空璋,3.0,0.15789473684210525,0.23684210526315788
6,妖々夢,0.2944058799509999,0.3125651418645039,東方妖々夢,3.0,0.15789473684210525,0.2631578947368421
7,妖精大戦争,0.0,0.0,妖精大戦争,3.0,0.15789473684210525,0.10526315789473684
8,封魔録,0.1602694977541854,0.0046902142443540915,東方封魔録,3.0,0.15789473684210525,0.2894736842105263
9,幺樂団の歴史,0.0,,,,,
10,幻想郷,0.0,0.008511870295309414,東方幻想郷,3.0,0.15789473684210525,0.3157894736842105
11,心綺楼,0.0,0.0,東方心綺楼,3.0,0.15789473684210525,0.3684210526315789
12,怪綺談,0.0365455287872601,0.01146496815286553,東方怪綺談,3.0,0.15789473684210525,0.39473684210526316
13,憑依華,0.0,0.0,東方憑依華,3.0,0.15789473684210525,0.42105263157894735
14,星蓮船,0.0,0.0,東方星蓮船,3.0,0.15789473684210525,0.47368421052631576
15,永夜抄,0.1629236423029804,0.3632310364794432,東方永夜抄,3.0,0.15789473684210525,0.5
16,深秘録,0.0,0.0,東方深秘録,3.0,0.15789473684210525,0.5263157894736842
17,神霊廟,0.0,0.0,東方神霊廟,3.0,0.15789473684210525,0.5526315789473685
18,紅魔郷,0.2456104532462226,0.22154024319629328,東方紅魔郷,3.0,0.15789473684210525,0.5789473684210527
19,紺珠伝,0.0,0.0,東方紺珠伝,3.0,0.15789473684210525,0.6052631578947368
20,緋想天,0.0,0.0,東方緋想天,3.0,0.15789473684210525,0.631578947368421
21,花映塚,0.0,0.0808338158656629,東方花映塚,3.0,0.15789473684210525,0.6578947368421053
22,茨歌仙,0.0,,,,,
23,萃夢想,0.0,0.0,東方萃夢想,3.0,0.15789473684210525,0.6842105263157895
24,虹龍洞,0.0,0.0,東方虹龍洞,3.0,0.15789473684210525,0.7105263157894737
25,輝針城,0.0,0.0,東方輝針城,3.0,0.15789473684210525,0.7368421052631579
26,鈴奈庵,0.0,,,,,
27,靈異伝,0.0869742752143732,0.0050376375217136915,東方靈異伝,3.0,0.15789473684210525,0.7631578947368421
28,風神録,0.0,0.0,東方風神録,3.0,0.15789473684210525,0.8157894736842105
29,香霖堂,0.0012249897917517,,,,,
30,鬼形獣,0.0,0.0,東方鬼形獣,3.0,0.15789473684210525,0.8421052631578947
31,Cradle,,0.0507237984944991,Cradle,3.0,0.15789473684210525,0.0
32,トルテルマジック,,0.0029530978575564304,トルテルマジック,3.0,0.15789473684210525,0.05263157894736842
33,メニュー,,0.000810654313838861,メニュー,3.0,0.15789473684210525,0.07894736842105263
34,弾幕アマノジャク,,0.0,弾幕アマノジャク,3.0,0.15789473684210525,0.13157894736842105
35,夢時空,,0.0026635784597562914,東方夢時空,3.0,0.15789473684210525,0.21052631578947367
36,幻想麻雀,,0.0,東方幻想麻雀,3.0,0.15789473684210525,0.34210526315789475
37,文花帖,,0.0,東方文花帖,3.0,0.15789473684210525,0.4473684210526316
38,非想天則,,0.0434858135495075,東方非想天則,3.0,0.15789473684210525,0.7894736842105263
39,神魔討綺伝 ,,0.0,神魔討綺伝 ,3.0,0.15789473684210525,0.868421052631579
40,秋霜玉,,0.01204400694846503,秋霜玉,3.0,0.15789473684210525,0.8947368421052632
41,秘封ナイトメアダイアリー,,0.0,秘封ナイトメアダイアリー,3.0,0.15789473684210525,0.9210526315789473
42,稀翁玉,,0.0010422698320785,稀翁玉,3.0,0.15789473684210525,0.9473684210526315
43,黄昏酒場,,0.0,黄昏酒場,3.0,0.15789473684210525,0.9736842105263158
0,CD,0.001424663779348,,,,,
1,ダブルスポイラー,0.0,0.0,ダブルスポイラー,4.0,0.21052631578947367,0.02631578947368421
2,儚月抄,0.0,,,,,
3,剛欲異聞,0.0,0.0,東方剛欲異聞,4.0,0.21052631578947367,0.15789473684210525
4,地霊殿,0.0,0.0,東方地霊殿,4.0,0.21052631578947367,0.18421052631578946
5,天空璋,0.0,0.0,東方天空璋,4.0,0.21052631578947367,0.23684210526315788
