,名前,12回目ポイント,16回目ポイント,13回目ポイント,15回目ポイント,17回目ポイント,20回目ポイント,18回目ポイント,21回目ポイント,14回目ポイント
72,文花帖,1474.0,802.0,1226.0,201.0,231.0,940,955.0,279,870.0
73,文花帖,1474.0,802.0,1226.0,201.0,231.0,940,955.0,279,226.0
74,文花帖,1474.0,802.0,1226.0,201.0,231.0,940,264.0,940,870.0
75,文花帖,1474.0,802.0,1226.0,201.0,231.0,940,264.0,940,226.0
76,文花帖,1474.0,802.0,1226.0,201.0,231.0,940,264.0,279,870.0
77,文花帖,1474.0,802.0,1226.0,201.0,231.0,940,264.0,279,226.0
78,文花帖,1474.0,802.0,1226.0,201.0,231.0,279,955.0,940,870.0
79,文花帖,1474.0,802.0,1226.0,201.0,231.0,279,955.0,940,226.0
80,文花帖,1474.0,802.0,1226.0,201.0,231.0,279,955.0,279,870.0
81,文花帖,1474.0,802.0,1226.0,201.0,231.0,279,955.0,279,226.0
82,文花帖,1474.0,802.0,1226.0,201.0,231.0,279,264.0,940,870.0
83,文花帖,1474.0,802.0,1226.0,201.0,231.0,279,264.0,940,226.0
84,文花帖,1474.0,802.0,1226.0,201.0,231.0,279,264.0,279,870.0
85,文花帖,1474.0,802.0,1226.0,201.0,231.0,279,264.0,279,226.0
86,文花帖,1474.0,802.0,342.0,717.0,914.0,940,955.0,940,870.0
87,文花帖,1474.0,802.0,342.0,717.0,914.0,940,955.0,940,226.0
88,文花帖,1474.0,802.0,342.0,717.0,914.0,940,955.0,279,870.0
89,文花帖,1474.0,802.0,342.0,717.0,914.0,940,955.0,279,226.0
90,文花帖,1474.0,802.0,342.0,717.0,914.0,940,264.0,940,870.0
91,文花帖,1474.0,802.0,342.0,717.0,914.0,940,264.0,940,226.0
92,文花帖,1474.0,802.0,342.0,717.0,914.0,940,264.0,279,870.0
93,文花帖,1474.0,802.0,342.0,717.0,914.0,940,264.0,279,226.0
94,文花帖,1474.0,802.0,342.0,717.0,914.0,279,955.0,940,870.0
95,文花帖,1474.0,802.0,342.0,717.0,914.0,279,955.0,940,226.0
96,文花帖,1474.0,802.0,342.0,717.0,914.0,279,955.0,279,870.0
97,文花帖,1474.0,802.0,342.0,717.0,914.0,279,955.0,279,226.0
98,文花帖,1474.0,802.0,342.0,717.0,914.0,279,264.0,940,870.0
99,文花帖,1474.0,802.0,342.0,717.0,914.0,279,264.0,940,226.0
100,文花帖,1474.0,802.0,342.0,717.0,914.0,279,264.0,279,870.0
101,文花帖,1474.0,802.0,342.0,717.0,914.0,279,264.0,279,226.0
102,文花帖,1474.0,802.0,342.0,717.0,231.0,940,955.0,940,870.0
103,文花帖,1474.0,802.0,342.0,717.0,231.0,940,955.0,940,226.0
104,文花帖,1474.0,802.0,342.0,717.0,231.0,940,955.0,279,870.0
105,文花帖,1474.0,802.0,342.0,717.0,231.0,940,955.0,279,226.0
106,文花帖,1474.0,802.0,342.0,717.0,231.0,940,264.0,940,870.0
107,文花帖,1474.0,802.0,342.0,717.0,231.0,940,264.0,940,226.0
108,文花帖,1474.0,802.0,342.0,717.0,231.0,940,264.0,279,870.0
109,文花帖,1474.0,802.0,342.0,717.0,231.0,940,264.0,279,226.0
110,文花帖,1474.0,802.0,342.0,717.0,231.0,279,955.0,940,870.0
111,文花帖,1474.0,802.0,342.0,717.0,231.0,279,955.0,940,226.0
112,文花帖,1474.0,802.0,342.0,717.0,231.0,279,955.0,279,870.0
113,文花帖,1474.0,802.0,342.0,717.0,231.0,279,955.0,279,226.0
114,文花帖,1474.0,802.0,342.0,717.0,231.0,279,264.0,940,870.0
115,文花帖,1474.0,802.0,342.0,717.0,231.0,279,264.0,940,226.0
116,文花帖,1474.0,802.0,342.0,717.0,231.0,279,264.0,279,870.0
117,文花帖,1474.0,802.0,342.0,717.0,231.0,279,264.0,279,226.0
118,文花帖,1474.0,802.0,342.0,201.0,914.0,940,955.0,940,870.0
119,文花帖,1474.0,802.0,342.0,201.0,914.0,940,955.0,940,226.0
120,文花帖,1474.0,802.0,342.0,201.0,914.0,940,955.0,279,870.0
121,文花帖,1474.0,802.0,342.0,201.0,914.0,940,955.0,279,226.0
122,文花帖,1474.0,802.0,342.0,201.0,914.0,940,264.0,940,870.0
123,文花帖,1474.0,802.0,342.0,201.0,914.0,940,264.0,940,226.0
124,文花帖,1474.0,802.0,342.0,201.0,914.0,940,264.0,279,870.0
125,文花帖,1474.0,802.0,342.0,201.0,914.0,940,264.0,279,226.0
126,文花帖,1474.0,802.0,342.0,201.0,914.0,279,955.0,940,870.0
127,文花帖,1474.0,802.0,342.0,201.0,914.0,279,955.0,940,226.0
128,文花帖,1474.0,802.0,342.0,201.0,914.0,279,955.0,279,870.0
129,文花帖,1474.0,802.0,342.0,201.0,914.0,279,955.0,279,226.0
130,文花帖,1474.0,802.0,342.0,201.0,914.0,279,264.0,940,870.0
131,文花帖,1474.0,802.0,342.0,201.0,914.0,279,264.0,940,226.0
132,文花帖,1474.0,802.0,342.0,201.0,914.0,279,264.0,279,870.0
133,文花帖,1474.0,802.0,342.0,201.0,914.0,279,264.0,279,226.0
134,文花帖,1474.0,802.0,342.0,201.0,231.0,940,955.0,940,870.0
135,文花帖,1474.0,802.0,342.0,201.0,231.0,940,955.0,940,226.0
136,文花帖,1474.0,802.0,342.0,201.0,231.0,940,955.0,279,870.0
137,文花帖,1474.0,802.0,342.0,201.0,231.0,940,955.0,279,226.0
138,文花帖,1474.0,802.0,342.0,201.0,231.0,940,264.0,940,870.0
139,文花帖,1474.0,802.0,342.0,201.0,231.0,940,264.0,940,226.0
140,文花帖,1474.0,802.0,342.0,201.0,231.0,940,264.0,279,870.0
141,文花帖,1474.0,802.0,342.0,201.0,231.0,940,264.0,279,226.0
142,文花帖,1474.0,802.0,342.0,201.0,231.0,279,955.0,940,870.0
143,文花帖,1474.0,802.0,342.0,201.0,231.0,279,955.0,940,226.0
144,文花帖,1474.0,802.0,342.0,201.0,231.0,279,955.0,279,870.0
145,文花帖,1474.0,802.0,342.0,201.0,231.0,279,955.0,279,226.0
146,文花帖,1474.0,802.0,342.0,201.0,231.0,279,264.0,940,870.0
147,文花帖,1474.0,802.0,342.0,201.0,231.0,279,264.0,940,226.0
148,文花帖,1474.0,802.0,342.0,201.0,231.0,279,264.0,279,870.0
149,文花帖,1474.0,802.0,342.0,201.0,231.0,279,264.0,279,226.0
150,文花帖,1474.0,176.0,1226.0,717.0,914.0,940,955.0,940,870.0
151,文花帖,1474.0,176.0,1226.0,717.0,914.0,940,955.0,940,226.0
152,文花帖,1474.0,176.0,1226.0,717.0,914.0,940,955.0,279,870.0
153,文花帖,1474.0,176.0,1226.0,717.0,914.0,940,955.0,279,226.0
154,文花帖,1474.0,176.0,1226.0,717.0,914.0,940,264.0,940,870.0
155,文花帖,1474.0,176.0,1226.0,717.0,914.0,940,264.0,940,226.0
156,文花帖,1474.0,176.0,1226.0,717.0,914.0,940,264.0,279,870.0
157,文花帖,1474.0,176.0,1226.0,717.0,914.0,940,264.0,279,226.0
158,文花帖,1474.0,176.0,1226.0,717.0,914.0,279,955.0,940,870.0
159,文花帖,1474.0,176.0,1226.0,717.0,914.0,279,955.0,940,226.0
160,文花帖,1474.0,176.0,1226.0,717.0,914.0,279,955.0,279,870.0
161,文花帖,1474.0,176.0,1226.0,717.0,914.0,279,955.0,279,226.0
162,文花帖,1474.0,176.0,1226.0,717.0,914.0,279,264.0,940,870.0
163,文花帖,1474.0,176.0,1226.0,717.0,914.0,279,264.0,940,226.0
164,文花帖,1474.0,176.0,1226.0,717.0,914.0,279,264.0,279,870.0
165,文花帖,1474.0,176.0,1226.0,717.0,914.0,279,264.0,279,226.0
166,文花帖,1474.0,176.0,1226.0,717.0,231.0,940,955.0,940,870.0
167,文花帖,1474.0,176.0,1226.0,717.0,231.0,940,955.0,940,226.0
168,文花帖,1474.0,176.0,1226.0,717.0,231.0,940,955.0,279,870.0
169,文花帖,1474.0,176.0,1226.0,717.0,231.0,940,955.0,279,226.0
170,文花帖,1474.0,176.0,1226.0,717.0,231.0,940,264.0,940,870.0
171,文花帖,1474.0,176.0,1226.0,717.0,231.0,940,264.0,940,226.0
172,文花帖,1474.0,176.0,1226.0,717.0,231.0,940,264.0,279,870.0
173,文花帖,1474.0,176.0,1226.0,717.0,231.0,940,264.0,279,226.0
174,文花帖,1474.0,176.0,1226.0,717.0,231.0,279,955.0,940,870.0
175,文花帖,1474.0,176.0,1226.0,717.0,231.0,279,955.0,940,226.0
176,文花帖,1474.0,176.0,1226.0,717.0,231.0,279,955.0,279,870.0
177,文花帖,1474.0,176.0,1226.0,717.0,231.0,279,955.0,279,226.0
178,文花帖,1474.0,176.0,1226.0,717.0,231.0,279,264.0,940,870.0
179,文花帖,1474.0,176.0,1226.0,717.0,231.0,279,264.0,940,226.0
180,文花帖,1474.0,176.0,1226.0,717.0,231.0,279,264.0,279,870.0
181,文花帖,1474.0,176.0,1226.0,717.0,231.0,279,264.0,279,226.0
182,文花帖,1474.0,176.0,1226.0,201.0,914.0,940,955.0,940,870.0
