,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"subpower[4, 2]",0.771,0.403,0.061,1.499,0.01,0.007,1438.0,2111.0,1.0
"subpower[4, 3]",0.739,0.402,0.02,1.443,0.01,0.007,1383.0,2675.0,1.0
"subpower[4, 4]",0.749,0.398,0.004,1.433,0.01,0.007,1625.0,2140.0,1.0
"subpower[5, 0]",0.854,0.397,0.137,1.581,0.012,0.008,1104.0,1424.0,1.0
"subpower[5, 1]",0.964,0.441,0.169,1.808,0.014,0.01,883.0,1421.0,1.0
"subpower[5, 2]",0.739,0.411,0.015,1.431,0.011,0.008,1276.0,1929.0,1.0
"subpower[5, 3]",0.76,0.407,0.0,1.448,0.011,0.007,1274.0,1413.0,1.0
"subpower[5, 4]",0.734,0.413,0.002,1.434,0.015,0.01,586.0,91.0,1.01
"subpower[6, 0]",0.652,0.351,0.025,1.26,0.009,0.006,1405.0,1763.0,1.0
"subpower[6, 1]",1.148,0.474,0.258,1.995,0.017,0.012,694.0,1076.0,1.0
"subpower[6, 2]",0.849,0.408,0.208,1.688,0.019,0.018,573.0,136.0,1.01
"subpower[6, 3]",0.749,0.396,0.025,1.414,0.01,0.007,1578.0,2265.0,1.0
"subpower[6, 4]",0.715,0.393,0.041,1.389,0.014,0.01,800.0,1745.0,1.0
"subpower[7, 0]",0.752,0.401,0.058,1.465,0.011,0.007,1384.0,2481.0,1.0
"subpower[7, 1]",0.852,0.384,0.139,1.55,0.011,0.008,1251.0,2069.0,1.0
"subpower[7, 2]",1.224,0.498,0.37,2.173,0.019,0.014,627.0,905.0,1.01
"subpower[7, 3]",0.793,0.385,0.105,1.488,0.011,0.008,1119.0,1941.0,1.0
"subpower[7, 4]",0.76,0.418,0.058,1.516,0.015,0.011,897.0,2341.0,1.0
"subpower[8, 0]",0.763,0.414,0.011,1.483,0.012,0.009,1159.0,2403.0,1.0
"subpower[8, 1]",0.755,0.404,0.048,1.462,0.01,0.007,1570.0,2447.0,1.0
"subpower[8, 2]",0.794,0.38,0.09,1.473,0.013,0.009,870.0,1791.0,1.0
"subpower[8, 3]",0.97,0.432,0.188,1.74,0.017,0.012,649.0,1590.0,1.01
"subpower[8, 4]",0.78,0.382,0.089,1.478,0.014,0.01,792.0,1363.0,1.01
"subpower[9, 0]",0.79,0.331,0.189,1.392,0.011,0.008,894.0,1924.0,1.0
"subpower[9, 1]",0.763,0.402,0.043,1.453,0.015,0.01,743.0,1566.0,1.0
"subpower[9, 2]",0.744,0.408,0.005,1.442,0.01,0.007,1528.0,2326.0,1.0
"subpower[9, 3]",0.74,0.357,0.074,1.383,0.008,0.006,1867.0,2410.0,1.0
"subpower[9, 4]",0.901,0.386,0.25,1.673,0.011,0.008,1125.0,1753.0,1.0
