,Track Name,Notes,作品
81,小槌の魔力, エンディングテーマ,輝針城
82,不思議な不思議な道具達, スタッフロールテーマ,輝針城
83,プレイヤーズスコア, ゲームオーバーテーマ　（※神霊廟・妖精大戦争と同じ）,輝針城
84,幻想郷の二ッ岩, 二ッ岩 マミゾウのテーマ,心綺楼
85,亡失のエモーション, 秦 こころのテーマ,心綺楼
86,欲深き霊魂, タイトル画面テーマ,神霊廟
87,死霊の夜桜, １面テーマ,神霊廟
88,ゴーストリード, １面ボス・西行寺 幽々子のテーマ,神霊廟
89,妖怪寺へようこそ, ２面テーマ,神霊廟
90,門前の妖怪小娘, ２面ボス・幽谷 響子のテーマ,神霊廟
91,素敵な墓場で暮しましょ, ３面テーマ,神霊廟
92,リジッドパラダイス, ３面ボス・宮古 芳香のテーマ,神霊廟
93,デザイアドライブ, ４面テーマ,神霊廟
94,古きユアンシェン, ４面ボス・霍 青娥のテーマ,神霊廟
95,夢殿大祀廟, ５面テーマ,神霊廟
96,大神神話伝, ５面ボス・物部 布都のテーマ,神霊廟
97,小さな欲望の星空, ６面テーマ,神霊廟
98,聖徳伝説, ６面ボス・豊聡耳 神子のテーマ,神霊廟
99,妖怪裏参道, EXTRAのテーマ,神霊廟
100,佐渡の二ッ岩, EXTRAボス・二ッ岩 マミゾウのテーマ,神霊廟
101,神社の新しい風, エンディングテーマ,神霊廟
102,デザイアドリーム, スタッフロールテーマ,神霊廟
103,プレイヤーズスコア, ゲームオーバーテーマ　（※妖精大戦争と同じ）,神霊廟
104,春の氷精, タイトル画面テーマ,妖精大戦争
105,可愛い大戦争のリフレーン, １面のテーマ,妖精大戦争
106,いたずらに命をかけて, １、２面ボスのテーマ,妖精大戦争
107,年中夢中の好奇心, ２面のテーマ,妖精大戦争
108,真夜中のフェアリーダンス, ３面のテーマ,妖精大戦争
109,妖精大戦争, ３面ボスのテーマ,妖精大戦争
110,ルーズレイン, EXTRAのテーマ,妖精大戦争
111,メイガスナイト, EXTRAボス・霧雨 魔理沙のテーマ,妖精大戦争
112,春の氷精, エンディングテーマ,妖精大戦争
113,プレイヤーズスコア," ネームレジストのテーマ
妖精大戦争　〜 Fairy WarsのFairyの表記は、ゲーム中及び音楽室選択画面だとFailyと表記されている（1.00a）
プレイヤーズスコアは風神録・地霊殿・星蓮船とは違いアレンジされている",妖精大戦争
114,妖精大戦争,,妖精大戦争
115,プレイヤーズスコアは風神録・地霊殿・星蓮船とは違いアレンジされている,,妖精大戦争
116,ニュースハウンド, タイトル画面テーマ,ダブルスポイラー
117,あなたの町の怪事件, 取材のテーマ１,ダブルスポイラー
118,妖怪モダンコロニー, 取材のテーマ２,ダブルスポイラー
119,ネメシスの要塞, 取材のテーマ３,ダブルスポイラー
120,無間の鐘, 取材のテーマ４,ダブルスポイラー
121,妖怪の山, 取材のテーマ５,ダブルスポイラー
122,," はたてモード開放画面・コンプリート画面のテーマ
音楽室には登録なし（データではth125_07.wav）",ダブルスポイラー
123,音楽室には登録なし,,ダブルスポイラー
124,アンノウンX, ファイナルステージ共通テーマ,非想天則
