,番号,年,初登場回,作品,名前
0,7.5,2004,3,萃夢想,博麗霊夢
1,7.5,2004,3,萃夢想,霧雨魔理沙
2,7.5,2004,3,萃夢想,十六夜咲夜
3,7.5,2004,3,萃夢想,アリス・マーガトロイド
4,7.5,2004,3,萃夢想,パチュリー・ノーレッジ
5,7.5,2004,3,萃夢想,魂魄妖夢
6,7.5,2004,3,萃夢想,レミリア・スカーレット
7,7.5,2004,3,萃夢想,西行寺幽々子
8,7.5,2004,3,萃夢想,八雲紫
9,7.5,2004,3,萃夢想,伊吹萃香
10,7.5,2004,3,萃夢想,紅美鈴
11,7.5,2004,3,萃夢想,
12,7.5,2004,3,萃夢想,
13,7.5,2004,3,萃夢想,
14,7.5,2004,3,萃夢想,
15,7.5,2004,3,萃夢想,
16,7.5,2004,3,萃夢想,
17,7.5,2004,3,萃夢想,
18,7.5,2004,3,萃夢想,
19,7.5,2004,3,萃夢想,
20,7.5,2004,3,萃夢想,
21,7.5,2004,3,萃夢想,
22,7.5,2004,3,萃夢想,
23,7.5,2004,3,萃夢想,
24,7.5,2004,3,萃夢想,
25,7.5,2004,3,萃夢想,
26,7.5,2004,3,萃夢想,
27,7.5,2004,3,萃夢想,
28,7.5,2004,3,萃夢想,
29,7.5,2004,3,萃夢想,
30,7.5,2004,3,萃夢想,
31,7.5,2004,3,萃夢想,
32,7.5,2004,3,萃夢想,
33,7.5,2004,3,萃夢想,
34,7.5,2004,3,萃夢想,
