,Unnamed: 0_x,Number,Track Name,Notes,title,名前,Unnamed: 0_y,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18
0,1.0,01,赤より紅い夢,タイトル画面テーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.,タイトル画面,95.0,0.0,0.0020482476103777,0.0006369426751592,0.0007468259895444,0.0005453382977923,0.0003894323633871,0.0003495171967677,0.0003706300711209,0.0004657933042212,0.0012619277033537,0.0018456318492671,0.0019732711453942,0.0019096847035578,0.0021989611030706,0.0025807329281515,0.0042137010220389,0.0046380472616722
1,2.0,02,ほおずきみたいに紅い魂,１面テーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.,ルーミア,18.0,0.0088495575221238,0.0061447428311333,0.003300521134916,0.0024005121092499,0.0020309150400541,0.0017446569879743,0.0017893193804677,0.0016928778924171,0.0016213190012316,0.0024865570509433,0.0029424467361212,0.0030383890931922,0.0029990429524695,0.0031750305722908,0.0033969647379855,0.0038637618104483,0.0039418995726181
2,3.0,03,妖魔夜行,１面ボス・ルーミアのテーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.,ルーミア,21.0,0.0088495575221238,0.0025034137460172,0.0020845396641574,0.0011735836978555,0.0019745007333859,0.0028662221945292,0.0027961375741419,0.0028448362215766,0.0032157653118351,0.0053398812669008,0.0067983880239,0.0072315902771549,0.0065626116371687,0.0066866368236231,0.0065338556149946,0.0069482775414786,0.0085358868539705
3,4.0,04,ルーネイトエルフ,２面テーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.,チルノ,47.0,0.0029498525073746,0.001820664542558,0.0012159814707585,0.0009068601301611,0.0008086050622437,0.0013162813882484,0.001674552539738,0.00178303115296,0.0020736759601388,0.0028533242159574,0.0028181617631066,0.0030383890931922,0.0028358597329969,0.0028496740825507,0.002756782926351,0.0030051480747931,0.0029138333651544
4,5.0,05,おてんば恋娘,２面ボス・チルノのテーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.,チルノ,6.0,0.0560471976401179,0.0202548930359581,0.0127967573827446,0.0088552224474554,0.0115085185603068,0.0080067293912393,0.0080597622239727,0.0070319543223479,0.0060553129548762,0.0,0.008243200835195,0.0079454061649774,0.0081988541891778,0.0084985358957961,0.0096747476283264,0.0125725582720939,0.0135616619424576
5,5.0,05,おてんば恋娘,２面ボス・チルノのテーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.,チルノ,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069064122089951,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8.0,-,おてんば恋娘,vsチルノ,東方非想天則　～ 超弩級ギニョルの謎を追え,チルノ,6.0,0.0560471976401179,0.0202548930359581,0.0127967573827446,0.0088552224474554,0.0115085185603068,0.0080067293912393,0.0080597622239727,0.0070319543223479,0.0060553129548762,0.0,0.008243200835195,0.0079454061649774,0.0081988541891778,0.0084985358957961,0.0096747476283264,0.0125725582720939,0.0135616619424576
7,8.0,-,おてんば恋娘,vsチルノ,東方非想天則　～ 超弩級ギニョルの謎を追え,チルノ,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069064122089951,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6.0,06,上海紅茶館,３面テーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.,紅 美鈴,3.0,0.0693215339233038,0.0355029585798816,0.0223508975101331,0.0,0.0254804618451239,0.0195650819365692,0.0170533091975189,0.0171992387057998,0.0159534206695778,0.0178596960184005,0.0189099586441752,0.0188432445361317,0.0174032698388896,0.0174907161208531,0.0183572134486194,0.0195929882283335,0.0206494441099149
9,6.0,06,上海紅茶館,３面テーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.,紅 美鈴,189.0,0.0,0.0,0.0,0.0281126640349941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,9.0,-,上海紅茶館,vs美鈴,東方非想天則　～ 超弩級ギニョルの謎を追え,紅 美鈴,3.0,0.0693215339233038,0.0355029585798816,0.0223508975101331,0.0,0.0254804618451239,0.0195650819365692,0.0170533091975189,0.0171992387057998,0.0159534206695778,0.0178596960184005,0.0189099586441752,0.0188432445361317,0.0174032698388896,0.0174907161208531,0.0183572134486194,0.0195929882283335,0.0206494441099149
11,9.0,-,上海紅茶館,vs美鈴,東方非想天則　～ 超弩級ギニョルの謎を追え,紅 美鈴,189.0,0.0,0.0,0.0,0.0281126640349941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,7.0,07,明治十七年の上海アリス,３面ボス・紅 美鈴のテーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.,紅 美鈴,2.0,0.0722713864306784,0.0366408739189804,0.0184713375796178,0.0102421849994665,0.006844935875738,0.0065658296467069,0.0051645078328368,0.0050335570469798,0.0054058895980293,0.0061728778789668,0.0061489990398985,0.0061216252578706,0.0061303966234304,0.0069334589882535,0.0073100760616014,0.0081135390398678,0.0095052064210077
13,8.0,08,ヴワル魔法図書館,４面テーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.,パチュリー・ノーレッジ,93.0,0.0,0.0020482476103777,0.0006369426751592,0.0038941640883388,0.0021249388845011,0.0013162813882484,0.0021388365772354,0.0020835420214364,0.0016840219460306,0.0018524850029527,0.0020413806817652,0.0023245732053696,0.0021522543541252,0.0024345640783996,0.0025847340644743,0.0027453993816538,0.0027816534241948
14,17.0,-,ヴワル魔法図書館,vsパチュリー,東方非想天則　～ 超弩級ギニョルの謎を追え,パチュリー・ノーレッジ,93.0,0.0,0.0020482476103777,0.0006369426751592,0.0038941640883388,0.0021249388845011,0.0013162813882484,0.0021388365772354,0.0020835420214364,0.0016840219460306,0.0018524850029527,0.0020413806817652,0.0023245732053696,0.0021522543541252,0.0024345640783996,0.0025847340644743,0.0027453993816538,0.0027816534241948
15,9.0,09,ラクトガール,４面ボス・パチュリー・ノーレッジのテーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.,パチュリー・ノーレッジ,7.0,0.0471976401179941,0.0,0.0,0.0148298303638109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,9.0,09,ラクトガール,４面ボス・パチュリー・ノーレッジのテーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.,パチュリー・ノーレッジ,78.0,0.0,0.0311788802913063,0.0176027793862188,0.0,0.0112640565647448,0.0099227366191039,0.0070685940540343,0.0062556345787839,0.0057552345761952,0.0051596058807074,0.0055897166613327,0.0055722486321643,0.0046926201491582,0.0051776558625873,0.0052694965370165,0.0055701664195446,0.0058805387066927
17,10.0,10,メイドと血の懐中時計,５面テーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.,十六夜 咲夜,11.0,0.0191740412979351,0.0104688211197086,0.0074116965836711,0.0097620825776165,0.0057730640490428,0.0046342451243068,0.0043141898765213,0.0040168286086346,0.003789049378569,0.0040966027414291,0.0048999350611016,0.0050565073100726,0.0048910862268952,0.0052505805930463,0.0055095647163794,0.0061654238413224,0.0072375861005448
18,11.0,11,月時計,５面ボス・十六夜 咲夜のテーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.,十六夜 咲夜,4.0,0.0663716814159292,0.0298133818843878,0.0222929936305732,0.0,0.0146865245026138,0.0119088416723783,0.0107098329099132,0.0108734849243714,0.0104266039637218,0.010617598607528,0.0126615316258649,0.0127552545818758,0.0113743114329691,0.0110452918672096,0.0117513373798158,0.0135538311128427,0.0164549339834628
19,11.0,11,月時計,５面ボス・十六夜 咲夜のテーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.,十六夜 咲夜,193.0,0.0,0.0,0.0,0.0200576122906219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,12.0,12,ツェペシュの幼き末裔,６面テーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.,レミリア・スカーレット,96.0,0.0,0.0013654984069185,0.0004053271569195,0.0007468259895444,0.0008086050622437,0.0007710760795065,0.0008972680275231,0.0009816688370229,0.0009002351360429,0.0010443539613962,0.0011341003787584,0.0015210631745747,0.0015348043344991,0.0015819056914947,0.0018925374806445,0.0022186867538989,0.0025789775147233
