,名前,作品ポイント比率,キャラ集計ポイント比率,回,回n,名前n
46,秘封ナイトメアダイアリー,0.0086461653611387,,,,
47,鬼形獣,0.0,0.0,15.0,0.42857142857142855,0.967741935483871
48,酔蝶華,0.0,,,,
49,智霊奇伝 反則探偵さとり,0.0,,,,
50,The Grimoire of Usami 秘封倶楽部異界撮影記録,0.0,,,,
51,剛欲異聞,0.0,0.0,15.0,0.42857142857142855,0.0967741935483871
52,Project人妖名鑑 宵闇編,0.0,,,,
53,虹龍洞,0.0,0.0,15.0,0.42857142857142855,0.7741935483870968
54,バレットフィリア達の闇市場,0.0,,,,
55,Project人妖名鑑 常世編,0.0,,,,
56,虹色のセプテントリオン,0.0,,,,
57,CD,,0.0200855327743987,15.0,0.42857142857142855,0.0
0,紅魔郷,0.1089299019888806,0.1592985694508533,16.0,0.5714285714285714,0.5806451612903226
1,永夜抄,0.0951835081484878,0.0700587869424767,16.0,0.5714285714285714,0.4838709677419355
2,妖々夢,0.0825929959305324,0.0994522581810151,16.0,0.5714285714285714,0.1935483870967742
3,風神録,0.0787241359546053,0.068349350935976,16.0,0.5714285714285714,0.9032258064516129
4,地霊殿,0.0643472612292466,0.09144278806604961,16.0,0.5714285714285714,0.12903225806451613
5,紺珠伝,0.0608605108805716,0.0446299231556347,16.0,0.5714285714285714,0.6129032258064516
6,鈴奈庵,0.0301293441088248,0.005228627033968,16.0,0.5714285714285714,0.8387096774193549
7,輝針城,0.0304636900326703,0.0329046367448481,16.0,0.5714285714285714,0.8064516129032258
8,星蓮船,0.0302821879597256,0.0430689592905436,16.0,0.5714285714285714,0.45161290322580644
9,非想天則,0.0237099023709902,,,,
10,深秘録,0.0113677614107487,0.004670853313537,16.0,0.5714285714285714,0.5161290322580645
11,神霊廟,0.0267285684262815,0.0380209064826143,16.0,0.5714285714285714,0.5483870967741935
12,茨歌仙,0.0279322137521254,0.0091852089645071,16.0,0.5714285714285714,0.7096774193548387
13,花映塚,0.0201180718748208,0.0417969141871148,16.0,0.5714285714285714,0.6774193548387096
14,緋想天,0.013689077396305,0.0197748841315382,16.0,0.5714285714285714,0.6451612903225806
15,弾幕アマノジャク,0.0093234749049502,,,,
16,儚月抄,0.0116830018532316,0.0046186874260146,16.0,0.5714285714285714,0.06451612903225806
17,心綺楼,0.0076517452857224,0.0149234565919624,16.0,0.5714285714285714,0.3548387096774194
18,三月精,0.0117212128159568,,,,
19,求聞史紀 / 求聞口授,0.0088171796488412,,,,
20,香霖堂,0.0089222597963355,0.0039204670853313,16.0,0.5714285714285714,0.9354838709677419
21,大空魔術,0.0128579889570317,,,,
22,文花帖,0.0076612980264037,,,,
23,ダブルスポイラー,0.0067633404023614,0.0041090668325274,16.0,0.5714285714285714,0.03225806451612903
24,蓬莱人形,0.0125905122179553,,,,
25,妖精大戦争,0.0073747158059647,0.0063521999959871,16.0,0.5714285714285714,0.22580645161290322
26,幻想郷,0.0109187825987275,0.0108344535623282,16.0,0.5714285714285714,0.3225806451612903
27,怪綺談,0.0078236946179859,0.0190565999879617,16.0,0.5714285714285714,0.3870967741935484
28,萃夢想,0.0070021589193939,0.0098713910234545,16.0,0.5714285714285714,0.7419354838709677
29,蓮台野夜行,0.0053304293001662,,,,
30,夢時空,0.0062665978869337,,,,
31,卯酉東海道,0.0066200492921419,,,,
32,The Grimoire of Marisa,0.0032861427943677,,,,
33,夢違科学世紀,0.0049960833763206,,,,
34,靈異伝,0.0059991211478573,0.0357657350374189,16.0,0.5714285714285714,0.8709677419354839
35,伊弉諾物質,0.0036395941995758,,,,
36,鳥船遺跡,0.0029709023518847,,,,
37,文花帖（書籍）,0.001681282359909,,,,
38,幺樂団の歴史,0.002187577616018,0.0042535262133584,16.0,0.5714285714285714,0.2903225806451613
39,封魔録,0.0035440667927628,0.0346140727513492,16.0,0.5714285714285714,0.25806451612903225
40,未知の花　魅知の旅,0.0024168433923692,,,,
41,燕石博物誌,0.0043178387879482,,,,
42,旧約酒場,0.0027034256128083,,,,
43,天空璋,0.0232131598555625,0.0026002688549587,16.0,0.5714285714285714,0.16129032258064516
44,憑依華,0.0216369576431478,0.0,16.0,0.5714285714285714,0.41935483870967744
45,文果真報,0.0025028180585009,,,,
46,秘封ナイトメアダイアリー,0.0043464970099921,,,,
47,鬼形獣,0.0357845665921552,0.030436788988984703,16.0,0.5714285714285714,0.967741935483871
48,酔蝶華,0.0070403698821191,,,,
49,智霊奇伝 反則探偵さとり,0.0062188341835272,,,,
50,The Grimoire of Usami 秘封倶楽部異界撮影記録,0.0044133661947612,,,,
51,剛欲異聞,0.0015093330276456,0.0,16.0,0.5714285714285714,0.0967741935483871
52,Project人妖名鑑 宵闇編,0.0012036453258439,,,,
53,虹龍洞,0.0,0.0,16.0,0.5714285714285714,0.7741935483870968
54,バレットフィリア達の闇市場,0.0,,,,
55,Project人妖名鑑 常世編,0.0,,,,
56,虹色のセプテントリオン,0.0,,,,
57,CD,,0.0178607973355269,16.0,0.5714285714285714,0.0
0,紅魔郷,0.1158530005063795,0.1648295673085251,17.0,0.7142857142857143,0.5806451612903226
1,永夜抄,0.0972912844607887,0.0717976083634508,17.0,0.7142857142857143,0.4838709677419355
2,妖々夢,0.0840507043656558,0.1046124419156651,17.0,0.7142857142857143,0.1935483870967742
3,風神録,0.07755908453218,0.064659429153571,17.0,0.7142857142857143,0.9032258064516129
4,地霊殿,0.0605165071432722,0.0867392728066555,17.0,0.7142857142857143,0.12903225806451613
5,紺珠伝,0.0554527116209956,0.0421914903201435,17.0,0.7142857142857143,0.6129032258064516
6,鈴奈庵,0.0234926907017092,0.0038982774811236,17.0,0.7142857142857143,0.8387096774193549
7,輝針城,0.0255431128230244,0.029893724293025403,17.0,0.7142857142857143,0.8064516129032258
8,星蓮船,0.027709753202228,0.040552481210302,17.0,0.7142857142857143,0.45161290322580644
9,非想天則,0.0188107551696371,,,,
10,深秘録,0.0089488058574001,0.0047992127212055,17.0,0.7142857142857143,0.5161290322580645
11,神霊廟,0.0268464175722005,0.0364393653257744,17.0,0.7142857142857143,0.5483870967741935
12,茨歌仙,0.0246714758888621,0.0075886468299207,17.0,0.7142857142857143,0.7096774193548387
13,花映塚,0.0212762424976963,0.0385323071911955,17.0,0.7142857142857143,0.6774193548387096
14,緋想天,0.0135560296522583,0.0199210642124266,17.0,0.7142857142857143,0.6451612903225806
15,弾幕アマノジャク,0.0090650241152885,,,,
16,儚月抄,0.0107335862463993,0.0056065893017404,17.0,0.7142857142857143,0.06451612903225806
17,心綺楼,0.0073217502469637,0.0151183863556823,17.0,0.7142857142857143,0.3548387096774194
18,三月精,0.0095714036675161,,,,
19,求聞史紀 / 求聞口授,0.007097615035322,,,,
20,香霖堂,0.0074130645924474,0.0034755309453929,17.0,0.7142857142857143,0.9354838709677419
21,大空魔術,0.0089072993367258,,,,
22,文花帖,0.0075873919792799,,,,
23,ダブルスポイラー,0.0055369698579646,0.0037146252975685,17.0,0.7142857142857143,0.03225806451612903
24,蓬莱人形,0.0107335862463993,,,,
25,妖精大戦争,0.0075707893710101,0.0045323972847197,17.0,0.7142857142857143,0.22580645161290322
26,幻想郷,0.0158471895934851,0.011570087563975,17.0,0.7142857142857143,0.3225806451612903
27,怪綺談,0.0077285141495728,0.0194324801014591,17.0,0.7142857142857143,0.3870967741935484
28,萃夢想,0.0062259781011596,0.0093004237860763,17.0,0.7142857142857143,0.7419354838709677
29,蓮台野夜行,0.0047732498775557,,,,
30,夢時空,0.0067157550451175,,,,
31,卯酉東海道,0.0054041489918066,,,,
32,The Grimoire of Marisa,0.002963565576152,,,,
33,夢違科学世紀,0.0038684077268538,,,,
34,靈異伝,0.0080688676191029,0.0395164056842083,17.0,0.7142857142857143,0.8709677419354839
35,伊弉諾物質,0.0034201373035703,,,,
36,鳥船遺跡,0.0025235964570033,,,,
37,文花帖（書籍）,0.0019176012551571,,,,
38,幺樂団の歴史,0.0018013829972688,0.0031775292890581,17.0,0.7142857142857143,0.2903225806451613
39,封魔録,0.0052215203008392,0.0409440415261843,17.0,0.7142857142857143,0.25806451612903225
40,未知の花　魅知の旅,0.0019923129923711,,,,
41,燕石博物誌,0.0030714825299054,,,,
42,旧約酒場,0.0024986925445987,,,,
43,天空璋,0.0184288951794326,0.0016944512784617,17.0,0.7142857142857143,0.16129032258064516
44,憑依華,0.0194997634128321,0.0,17.0,0.7142857142857143,0.41935483870967744
45,文果真報,0.0020587234254501,,,,
46,秘封ナイトメアダイアリー,0.0041423507633049,,,,
47,鬼形獣,0.0296024505449806,0.021771446590133,17.0,0.7142857142857143,0.967741935483871
48,酔蝶華,0.0107667914629388,,,,
49,智霊奇伝 反則探偵さとり,0.0068319733030059,,,,
50,The Grimoire of Usami 秘封倶楽部異界撮影記録,0.0043249794542722,,,,
51,剛欲異聞,0.0033703294787611,0.0,17.0,0.7142857142857143,0.0967741935483871
52,Project人妖名鑑 宵闇編,0.0023077625494965,,,,
53,虹龍洞,0.0415065206743979,0.026702334461812,17.0,0.7142857142857143,0.7741935483870968
54,バレットフィリア達の闇市場,0.0,,,,
55,Project人妖名鑑 常世編,0.0,,,,
56,虹色のセプテントリオン,0.0,,,,
57,CD,,0.012866048255477498,17.0,0.7142857142857143,0.0
0,紅魔郷,0.1422444554704439,0.1859158566805308,18.0,0.8571428571428571,0.5806451612903226
1,永夜抄,0.0967735357888083,0.070975664701454,18.0,0.8571428571428571,0.4838709677419355
2,妖々夢,0.0862520135665105,0.099269776207561,18.0,0.8571428571428571,0.1935483870967742
3,風神録,0.0799717251082398,0.0659701426930915,18.0,0.8571428571428571,0.9032258064516129
4,地霊殿,0.0622455429662808,0.0858548673344355,18.0,0.8571428571428571,0.12903225806451613
5,紺珠伝,0.0487809851352912,0.0411320941323849,18.0,0.8571428571428571,0.6129032258064516
6,鈴奈庵,0.020587655562881,0.0034670520167693,18.0,0.8571428571428571,0.8387096774193549
7,輝針城,0.0202885942077253,0.0265001456051952,18.0,0.8571428571428571,0.8064516129032258
8,星蓮船,0.0242919382574238,0.036769432799081,18.0,0.8571428571428571,0.45161290322580644
9,非想天則,0.0159997825008326,,,,
10,深秘録,0.0082649683606679,0.0041373853702492,18.0,0.8571428571428571,0.5161290322580645
11,神霊廟,0.0235986596613809,0.0347062346496406,18.0,0.8571428571428571,0.5483870967741935
12,茨歌仙,0.0244822500288866,0.007865427832021,18.0,0.8571428571428571,0.7096774193548387
13,花映塚,0.022436398485662,0.0365716295144478,18.0,0.8571428571428571,0.6774193548387096
14,緋想天,0.0127848729329083,0.018662190451595798,18.0,0.8571428571428571,0.6451612903225806
15,弾幕アマノジャク,0.0077959857809919,,,,
16,儚月抄,0.0116837833980166,0.00491211490173,18.0,0.8571428571428571,0.06451612903225806
17,心綺楼,0.0065113813236183,0.0136429321040225,18.0,0.8571428571428571,0.3548387096774194
18,三月精,0.008625201356651,,,,
19,求聞史紀 / 求聞口授,0.0066745056991578,,,,
20,香霖堂,0.0055190413724197,0.0035110083022434,18.0,0.8571428571428571,0.9354838709677419
21,大空魔術,0.0080542660422628,,,,
22,文花帖,0.0064909907766759,,,,
23,ダブルスポイラー,0.0046218573069524,0.0032994686783993,18.0,0.8571428571428571,0.03225806451612903
24,蓬莱人形,0.0104263663365663,,,,
25,妖精大戦争,0.0064026317399253,0.0039752965675634005,18.0,0.8571428571428571,0.22580645161290322
26,幻想郷,0.0180592277420188,0.0111484129033676,18.0,0.8571428571428571,0.3225806451612903
27,怪綺談,0.0077687983850686,0.018980873521283,18.0,0.8571428571428571,0.3870967741935484
28,萃夢想,0.0067560678869276,0.0091374128429277,18.0,0.8571428571428571,0.7419354838709677
29,蓮台野夜行,0.0041868589721804,,,,
30,夢時空,0.0065317718705608,,,,
31,卯酉東海道,0.0056481815030551,,,,
32,The Grimoire of Marisa,0.0031129568332121,,,,
33,夢違科学世紀,0.0034188150373486,,,,
