,Number,Track Name,Notes,title
20,20,Eternal Dream　～ 幽玄の槭樹,スタッフロールテーマ,東方永夜抄　～ Imperishable Night.
21,21,東方妖怪小町,ラストワードのテーマ,東方永夜抄　～ Imperishable Night.
1,-,Demystify Feast,宴会直前のテーマ,東方萃夢想　～ Immaterial and Missing Power.
2,-,夜が降りてくる　～ Evening Star,セミファイナルステージ・八雲 紫のテーマ,東方萃夢想　～ Immaterial and Missing Power.
3,-,御伽の国の鬼が島　～ Missing Power,ファイナルステージ・伊吹 萃香のテーマ,東方萃夢想　～ Immaterial and Missing Power.
1,01,花映塚　～ Higan Retour,タイトル画面テーマ,東方花映塚　～ Phantasmagoria of Flower View.
2,02,春色小径　～ Colorful Path,博麗 霊夢のテーマ,東方花映塚　～ Phantasmagoria of Flower View.
3,03,オリエンタルダークフライト,霧雨 魔理沙のテーマ,東方花映塚　～ Phantasmagoria of Flower View.
4,04,フラワリングナイト,十六夜 咲夜のテーマ,東方花映塚　～ Phantasmagoria of Flower View.
5,05,東方妖々夢　～ Ancient Temple,魂魄 妖夢のテーマ,東方花映塚　～ Phantasmagoria of Flower View.
6,06,狂気の瞳　～ Invisible Full Moon,鈴仙・U・イナバのテーマ,東方花映塚　～ Phantasmagoria of Flower View.
7,07,おてんば恋娘の冒険,チルノのテーマ,東方花映塚　～ Phantasmagoria of Flower View.
8,08,幽霊楽団　～ Phantom Ensemble,プリズムリバー三姉妹のテーマ,東方花映塚　～ Phantasmagoria of Flower View.
9,09,もう歌しか聞こえない　～ Flower Mix,ミスティア・ローレライのテーマ,東方花映塚　～ Phantasmagoria of Flower View.
10,10,お宇佐さまの素い幡,因幡 てゐのテーマ,東方花映塚　～ Phantasmagoria of Flower View.
11,11,風神少女 (Short Version),射命丸 文のテーマ,東方花映塚　～ Phantasmagoria of Flower View.
12,12,ポイズンボディ　～ Forsaken Doll,メディスン・メランコリーのテーマ,東方花映塚　～ Phantasmagoria of Flower View.
13,13,今昔幻想郷　～ Flower Land,風見 幽香のテーマ,東方花映塚　～ Phantasmagoria of Flower View.
14,14,彼岸帰航　～ Riverside View,小野塚 小町のテーマ,東方花映塚　～ Phantasmagoria of Flower View.
15,15,六十年目の東方裁判　～ Fate of Sixty Years,四季映姫・ヤマザナドゥのテーマ,東方花映塚　～ Phantasmagoria of Flower View.
16,16,花の映る塚,会話場面のテーマ,東方花映塚　～ Phantasmagoria of Flower View.
17,17,此岸の塚,会話場面のテーマ２,東方花映塚　～ Phantasmagoria of Flower View.
18,18,花は幻想のままに,エンディングテーマ,東方花映塚　～ Phantasmagoria of Flower View.
19,19,魂の花　～ Another Dream...,スタッフロールテーマ,東方花映塚　～ Phantasmagoria of Flower View.
1,01,天狗の手帖　～ Mysterious Note,タイトル画面テーマ,東方文花帖　～ Shoot The Bullet.
2,02,風の循環　～ Wind Tour,撮影曲１,東方文花帖　～ Shoot The Bullet.
3,03,天狗が見ている　～ Black Eyes,撮影曲２,東方文花帖　～ Shoot The Bullet.
4,04,東の国の眠らない夜,撮影曲３,東方文花帖　～ Shoot The Bullet.
5,05,レトロスペクティブ京都,撮影曲４,東方文花帖　～ Shoot The Bullet.
6,06,風神少女,撮影曲５,東方文花帖　～ Shoot The Bullet.
1,01,封印されし神々,タイトル画面テーマ,東方風神録　～ Mountain of Faith.
2,02,人恋し神様　～ Romantic Fall,１面テーマ,東方風神録　～ Mountain of Faith.
3,03,稲田姫様に叱られるから,１面ボス・秋 穣子のテーマ,東方風神録　～ Mountain of Faith.
4,04,厄神様の通り道　～ Dark Road,２面テーマ,東方風神録　～ Mountain of Faith.
5,05,運命のダークサイド,２面ボス・鍵山 雛のテーマ,東方風神録　～ Mountain of Faith.
6,06,神々が恋した幻想郷,３面テーマ,東方風神録　～ Mountain of Faith.
7,07,芥川龍之介の河童　～ Candid Friend,３面ボス・河城 にとりのテーマ,東方風神録　～ Mountain of Faith.
8,08,フォールオブフォール　～ 秋めく滝,４面テーマ,東方風神録　～ Mountain of Faith.
9,09,妖怪の山　～ Mysterious Mountain,４面ボス・射命丸 文のテーマ,東方風神録　～ Mountain of Faith.
10,10,少女が見た日本の原風景,５面テーマ,東方風神録　～ Mountain of Faith.
11,11,信仰は儚き人間の為に,５面ボス・東風谷 早苗のテーマ,東方風神録　～ Mountain of Faith.
12,12,御柱の墓場　～ Grave of Being,６面テーマ,東方風神録　～ Mountain of Faith.
13,13,神さびた古戦場　～ Suwa Foughten Field,６面ボス・八坂 神奈子のテーマ,東方風神録　～ Mountain of Faith.
14,14,明日ハレの日、ケの昨日,EXTRAステージテーマ,東方風神録　～ Mountain of Faith.
15,15,ネイティブフェイス,EXTRAステージボス・洩矢 諏訪子のテーマ,東方風神録　～ Mountain of Faith.
16,16,麓の神社,エンディングテーマ,東方風神録　～ Mountain of Faith.
17,17,神は恵みの雨を降らす　～ Sylphid Dream,スタッフロールテーマ,東方風神録　～ Mountain of Faith.
18,18,プレイヤーズスコア,ゲームオーバーテーマ,東方風神録　～ Mountain of Faith.
1,-,黒い海に紅く　～ Legendary Fish,永江 衣玖のテーマ,東方緋想天　～ Scarlet Weather Rhapsody.
2,-,有頂天変　～ Wonderful Heaven,比那名居 天子のテーマ,東方緋想天　～ Scarlet Weather Rhapsody.
3,-,幼心地の有頂天,ラストスペルのテーマ,東方緋想天　～ Scarlet Weather Rhapsody.
1,01,地霊達の起床,タイトル画面テーマ,東方地霊殿　～ Subterranean Animism.
2,02,暗闇の風穴,１面テーマ,東方地霊殿　～ Subterranean Animism.
3,03,封じられた妖怪　～ Lost Place,１面ボス・黒谷 ヤマメのテーマ,東方地霊殿　～ Subterranean Animism.
4,04,渡る者の途絶えた橋,２面テーマ,東方地霊殿　～ Subterranean Animism.
5,05,緑眼のジェラシー,２面ボス・水橋 パルスィのテーマ,東方地霊殿　～ Subterranean Animism.
6,06,旧地獄街道を行く,３面テーマ,東方地霊殿　～ Subterranean Animism.
7,07,華のさかづき大江山,３面ボス・星熊 勇儀のテーマ,東方地霊殿　～ Subterranean Animism.
8,08,ハートフェルトファンシー,４面テーマ,東方地霊殿　～ Subterranean Animism.
9,09,少女さとり　～ 3rd eye,４面ボス・古明地 さとりのテーマ,東方地霊殿　～ Subterranean Animism.
10,10,廃獄ララバイ,５面テーマ,東方地霊殿　～ Subterranean Animism.
11,11,死体旅行　～ Be of good cheer!,５面ボス・火焔猫 燐のテーマ,東方地霊殿　～ Subterranean Animism.
12,12,業火マントル,６面テーマ,東方地霊殿　～ Subterranean Animism.
13,13,霊知の太陽信仰　～ Nuclear Fusion,６面ボス・霊烏路 空のテーマ,東方地霊殿　～ Subterranean Animism.
14,14,ラストリモート,EXTRAステージテーマ,東方地霊殿　～ Subterranean Animism.
15,15,ハルトマンの妖怪少女,EXTRAステージボス・古明地 こいしのテーマ,東方地霊殿　～ Subterranean Animism.
