,Number,Track Name,Notes,title
2,02,ルーシッドドリーマー,一週目(夢1週間)のテーマ,秘封ナイトメアダイアリー　～ Violet Detector.
3,03,ルナティックドリーマー,二週目(裏1週間)のテーマ,秘封ナイトメアダイアリー　～ Violet Detector.
4,04,ナイトメアダイアリー,三週目(悪夢1週間)テーマ,秘封ナイトメアダイアリー　～ Violet Detector.
5,05,バー・オールドアダム,ストーリー1のテーマ(旧約酒場より再録),秘封ナイトメアダイアリー　～ Violet Detector.
6,06,燕石博物誌が連れてきた闇,ストーリー2のテーマ(旧約酒場より再録),秘封ナイトメアダイアリー　～ Violet Detector.
7,07,永遠の春夢,ストーリー3　ドレミー・スイートのテーマ(東方紺珠伝より再録),秘封ナイトメアダイアリー　～ Violet Detector.
8,08,秘匿されたフォーシーズンズ,ストーリー4　宇佐見菫子のテーマ(東方天空璋より再録),秘封ナイトメアダイアリー　～ Violet Detector.
1,01,物言わぬ獣の霊,タイトル画面テーマ,東方鬼形獣　～ Wily Beast and Weakest Creature.
2,02,地蔵だけが知る哀嘆,１面テーマ,東方鬼形獣　～ Wily Beast and Weakest Creature.
3,03,ジェリーストーン,１面ボス・戎 瓔花のテーマ,東方鬼形獣　～ Wily Beast and Weakest Creature.
4,04,ロストリバー,２面テーマ,東方鬼形獣　～ Wily Beast and Weakest Creature.
5,05,石の赤子と水中の牛,２面ボス・牛崎 潤美のテーマ,東方鬼形獣　～ Wily Beast and Weakest Creature.
6,06,不朽の曼珠沙華,３面テーマ,東方鬼形獣　～ Wily Beast and Weakest Creature.
7,07,セラフィックチキン,３面ボス・庭渡久 侘歌のテーマ,東方鬼形獣　～ Wily Beast and Weakest Creature.
8,08,アンロケイテッドヘル,４面テーマ,東方鬼形獣　～ Wily Beast and Weakest Creature.
9,09,トータスドラゴン　～ 幸運と不運,４面ボス・吉弔 八千慧のテーマ,東方鬼形獣　～ Wily Beast and Weakest Creature.
10,10,ビーストメトロポリス,５面テーマ,東方鬼形獣　～ Wily Beast and Weakest Creature.
11,11,セラミックスの杖刀人,５面ボス・杖刀偶 磨弓テーマ,東方鬼形獣　～ Wily Beast and Weakest Creature.
12,12,エレクトリックヘリテージ,６面テーマ,東方鬼形獣　～ Wily Beast and Weakest Creature.
13,13,偶像に世界を委ねて　～ Idoratrize World,６面ボス・埴安神 袿姫のテーマ,東方鬼形獣　～ Wily Beast and Weakest Creature.
14,14,輝かしき弱肉強食の掟,EXTRAステージテーマ,東方鬼形獣　～ Wily Beast and Weakest Creature.
15,15,聖徳太子のペガサス　～ Dark Pegasus,EXTRAステージボス・驪駒 早鬼のテーマ,東方鬼形獣　～ Wily Beast and Weakest Creature.
16,16,畜生達の休息,エンディングテーマ,東方鬼形獣　～ Wily Beast and Weakest Creature.
17,17,地下からの帰還,スタッフロールテーマ,東方鬼形獣　～ Wily Beast and Weakest Creature.
1,01,虹の架かる幻想郷,タイトル画面テーマ,東方虹龍洞　～ Unconnected Marketeers.
2,02,妖異達の通り雨,１面テーマ,東方虹龍洞　～ Unconnected Marketeers.
3,03,大吉キトゥン,１面ボス・豪徳寺 ミケのテーマ,東方虹龍洞　～ Unconnected Marketeers.
4,04,深緑に隠された断崖,２面テーマ,東方虹龍洞　～ Unconnected Marketeers.
5,05,バンデットリィテクノロジー,２面ボス・山城 たかねのテーマ,東方虹龍洞　～ Unconnected Marketeers.
6,06,駒草咲くパーペチュアルスノー,３面テーマ,東方虹龍洞　～ Unconnected Marketeers.
7,07,スモーキングドラゴン,３面ボス・駒草 太夫のテーマ,東方虹龍洞　～ Unconnected Marketeers.
8,08,廃れゆく産業遺構,４面テーマ,東方虹龍洞　～ Unconnected Marketeers.
9,09,神代鉱石,４面ボス・玉造 魅須丸のテーマ,東方虹龍洞　～ Unconnected Marketeers.
10,10,待ちわびた逢魔が時,５面テーマ,東方虹龍洞　～ Unconnected Marketeers.
11,11,星降る天魔の山,５面ボス・飯綱丸 龍テーマ,東方虹龍洞　～ Unconnected Marketeers.
12,12,ルナレインボー,６面テーマ,東方虹龍洞　～ Unconnected Marketeers.
13,13,あの賑やかな市場は今どこに　～ Immemorial Marketeers,６面ボス・天弓 千亦のテーマ,東方虹龍洞　～ Unconnected Marketeers.
14,14,幻想の地下大線路網,EXTRAステージテーマ,東方虹龍洞　～ Unconnected Marketeers.
15,15,龍王殺しのプリンセス,EXTRAステージボス・姫虫 百々世のテーマ,東方虹龍洞　～ Unconnected Marketeers.
16,16,嵐の後の日曜日,エンディングテーマ,東方虹龍洞　～ Unconnected Marketeers.
17,17,虹色の世界,スタッフロールテーマ,東方虹龍洞　～ Unconnected Marketeers.
1,-,強欲な獣のメメント,饕餮 尤魔のテーマ１,東方剛欲異聞　～ 水没した沈愁地獄
2,-,有機体全てのメメント　～ Memory of Fossil Energy.,饕餮 尤魔のテーマ２,東方剛欲異聞　～ 水没した沈愁地獄
1,01,A Sacred Lot,タイトル画面テーマ,東方靈異伝　～ Highly Responsive to Prayers
2,02,永遠の巫女,１～４面、地獄１６～１９面テーマ,東方靈異伝　～ Highly Responsive to Prayers
3,03,Positive and Negative,５面テーマ,東方靈異伝　～ Highly Responsive to Prayers
4,04,Highly Responsive to Prayers,魔界６～９面テーマ,東方靈異伝　～ Highly Responsive to Prayers
5,05,東方怪奇談,地獄６～９面テーマ,東方靈異伝　～ Highly Responsive to Prayers
6,06,天使伝説,１０面テーマ,東方靈異伝　～ Highly Responsive to Prayers
7,07,Oriental Magician,魔界１１～１４面テーマ,東方靈異伝　～ Highly Responsive to Prayers
8,08,破邪の小太刀,地獄１１～１４面テーマ,東方靈異伝　～ Highly Responsive to Prayers
9,09,魔鏡,１５面テーマ,東方靈異伝　～ Highly Responsive to Prayers
10,10,the Legend of KAGE,１６～１９面テーマ,東方靈異伝　～ Highly Responsive to Prayers
11,11,いざ倒れ逝くその時まで,魔界最終面テーマ１,東方靈異伝　～ Highly Responsive to Prayers
12,12,死なばもろとも,魔界最終面テーマ２,東方靈異伝　～ Highly Responsive to Prayers
13,13,星幽剣士,地獄最終面テーマ,東方靈異伝　～ Highly Responsive to Prayers
14,14,アイリス,エンディングテーマ,東方靈異伝　～ Highly Responsive to Prayers
15,15,風の神社,未使用曲,東方靈異伝　～ Highly Responsive to Prayers
1,01,東方封魔録　～ 浄土曼荼羅,タイトル画面,東方封魔録　～ the Story of Eastern Wonderland
2,02,博麗　～ Eastern Wind,１面テーマ,東方封魔録　～ the Story of Eastern Wonderland
3,03,She's in a temper!!,１面ボス・里香のテーマ１,東方封魔録　～ the Story of Eastern Wonderland
4,04,End of Daylight,２面テーマ,東方封魔録　～ the Story of Eastern Wonderland
5,05,やみのちから,２面ボス・明羅のテーマ,東方封魔録　～ the Story of Eastern Wonderland
6,06,幻夢界,３面テーマ,東方封魔録　～ the Story of Eastern Wonderland
7,07,死を賭して,３面ボス,東方封魔録　～ the Story of Eastern Wonderland
8,08,ひもろぎ、むらさきにもえ,４面テーマ,東方封魔録　～ the Story of Eastern Wonderland
9,09,恋色マジック,４面ボス・魔理沙のテーマ,東方封魔録　～ the Story of Eastern Wonderland
10,10,東方封魔録　～ 幽幻乱舞,最終面テーマ,東方封魔録　～ the Story of Eastern Wonderland
11,11,Complete Darkness,最終面ボス・魅魔のテーマ,東方封魔録　～ the Story of Eastern Wonderland
12,12,エキストララブ,エキストラステージ,東方封魔録　～ the Story of Eastern Wonderland
13,13,戦車むすめのみるゆめ,エキストラボス・里香のテーマ２,東方封魔録　～ the Story of Eastern Wonderland
14,14,遠野の森,エンディングテーマ,東方封魔録　～ the Story of Eastern Wonderland
15,15,昔話わんだーらんど,スタッフロールテーマ,東方封魔録　～ the Story of Eastern Wonderland
16,16,博麗神社境内,未使用曲（１面テーマ）,東方封魔録　～ the Story of Eastern Wonderland
17,17,陽落ちて,未使用曲（２面テーマ）,東方封魔録　～ the Story of Eastern Wonderland
18,18,封魔終演,未使用曲（スタッフロールテーマ）,東方封魔録　～ the Story of Eastern Wonderland
1,01,夢は時空を越えて,タイトル画面テーマ,東方夢時空　～ Phantasmagoria of Dim.Dream
2,02,Selection,使用キャラ選択テーマ,東方夢時空　～ Phantasmagoria of Dim.Dream
3,03,東方妖恋談,博麗 靈夢のテーマ,東方夢時空　～ Phantasmagoria of Dim.Dream
4,04,Reincarnation,魅魔のテーマ,東方夢時空　～ Phantasmagoria of Dim.Dream
5,05,Dim. Dream,霧雨 魔理沙のテーマ,東方夢時空　～ Phantasmagoria of Dim.Dream
6,06,Tabula rasa　～ 空白少女,エレンのテーマ,東方夢時空　～ Phantasmagoria of Dim.Dream
7,07,Maniacal Princess,小兎姫のテーマ,東方夢時空　～ Phantasmagoria of Dim.Dream
8,08,夢消失　～ Lost Dream,カナ・アナベラルのテーマ,東方夢時空　～ Phantasmagoria of Dim.Dream
9,09,夢幻遊戯　～ Dream War,朝倉 理香子のテーマ,東方夢時空　～ Phantasmagoria of Dim.Dream
10,10,魔法決戦！　～ Fight it out!,ＣＰＵ７人目のテーマ,東方夢時空　～ Phantasmagoria of Dim.Dream
11,11,Sailor of Time,北白河 ちゆりのテーマ,東方夢時空　～ Phantasmagoria of Dim.Dream
12,12,Strawberry Crisis!!,岡崎 夢美のテーマ,東方夢時空　～ Phantasmagoria of Dim.Dream
13,13,非統一魔法世界論,中ボスデモテーマ,東方夢時空　～ Phantasmagoria of Dim.Dream
14,14,魔法鐘愛,夢美デモテーマ,東方夢時空　～ Phantasmagoria of Dim.Dream
15,15,久遠の夢,共通エンディングテーマ,東方夢時空　～ Phantasmagoria of Dim.Dream
16,16,東方の青い空,昼のエンディングテーマ,東方夢時空　～ Phantasmagoria of Dim.Dream
17,17,永遠の満月,夜のエンディングテーマ,東方夢時空　～ Phantasmagoria of Dim.Dream
18,18,Maple Dream...,スタッフロールテーマ,東方夢時空　～ Phantasmagoria of Dim.Dream
19,19,霊人の休日,ネームレジストテーマ,東方夢時空　～ Phantasmagoria of Dim.Dream
20,20,勝利デモ,勝利デモテーマ,東方夢時空　～ Phantasmagoria of Dim.Dream
21,21,ゲームオーバー,ゲームオーバーテーマ,東方夢時空　～ Phantasmagoria of Dim.Dream
22,22,時の風,未使用曲,東方夢時空　～ Phantasmagoria of Dim.Dream
23,23,スターボウドリーム,未使用曲,東方夢時空　～ Phantasmagoria of Dim.Dream
24,24,Phantasmagoria,未使用曲,東方夢時空　～ Phantasmagoria of Dim.Dream
1,01,幻想郷　～ Lotus Land Story,タイトル画面テーマ,東方幻想郷　～ Lotus Land Story
2,02,Witching Dream,靈夢１面のテーマ,東方幻想郷　～ Lotus Land Story
3,03,Selene's light,魔理沙１面のテーマ,東方幻想郷　～ Lotus Land Story
4,04,装飾戦　～ Decoration Battle,１面ボス・オレンジのテーマ,東方幻想郷　～ Lotus Land Story
5,05,Break the Sabbath,２面テーマ,東方幻想郷　～ Lotus Land Story
6,06,紅響曲　～ Scarlet Phoneme,２面ボス・くるみのテーマ,東方幻想郷　～ Lotus Land Story
7,07,Bad Apple!!,３面テーマ,東方幻想郷　～ Lotus Land Story
8,08,霊戦　～ Perdition crisis,３面ボス・エリーのテーマ,東方幻想郷　～ Lotus Land Story
9,09,アリスマエステラ,４面テーマ,東方幻想郷　～ Lotus Land Story
10,10,少女綺想曲　～ Capriccio,４面ボス・靈夢のテーマ,東方幻想郷　～ Lotus Land Story
11,11,星の器　～ Casket of Star,４面ボス・魔理沙のテーマ,東方幻想郷　～ Lotus Land Story
12,12,Lotus Love,５面テーマ,東方幻想郷　～ Lotus Land Story
13,13,眠れる恐怖　～ Sleeping Terror,５面ボス・幽香のテーマ１,東方幻想郷　～ Lotus Land Story
14,14,Dream Land,最終面テーマ,東方幻想郷　～ Lotus Land Story
15,15,幽夢　～ Inanimate Dream,最終面ボス・幽香のテーマ２,東方幻想郷　～ Lotus Land Story
16,16,禁じざるをえない遊戯,エキストラステージテーマ,東方幻想郷　～ Lotus Land Story
17,17,メイド幻想　～ Icemilk Magic,エキストラボス・夢月のテーマ,東方幻想郷　～ Lotus Land Story
18,18,かわいい悪魔　～ Innocence,エキストラボス・幻月のテーマ,東方幻想郷　～ Lotus Land Story
19,19,Days,バッドエンドのテーマ,東方幻想郷　～ Lotus Land Story
20,20,Peaceful,グッドエンドのテーマ,東方幻想郷　～ Lotus Land Story
21,21,Arcadian Dream,スタッフロールテーマ,東方幻想郷　～ Lotus Land Story
22,22,幻想の住人,ネームレジストテーマ,東方幻想郷　～ Lotus Land Story
23,23,Lotus Road,未使用曲（１面テーマ）,東方幻想郷　～ Lotus Land Story
24,24,Dreamy pilot,未使用曲（４面テーマ）,東方幻想郷　～ Lotus Land Story
25,25,Incomplete Plot,未使用曲（５面テーマ）,東方幻想郷　～ Lotus Land Story
26,26,Border Land,未使用曲（６面テーマ）,東方幻想郷　～ Lotus Land Story
27,27,Magic Shop of Raspberry,未使用曲（エキストラステージテーマ）,東方幻想郷　～ Lotus Land Story
28,28,Crescent Dream,未使用曲（スタッフロールテーマ）,東方幻想郷　～ Lotus Land Story
1,01,怪綺談　～ Mystic Square,タイトル画面テーマ,東方怪綺談　～ Mystic Square
2,02,Dream Express,１面テーマ,東方怪綺談　～ Mystic Square
3,03,魔法陣　～ Magic Square,１面ボス・サラのテーマ,東方怪綺談　～ Mystic Square
4,04,夢想時空,２面テーマ,東方怪綺談　～ Mystic Square
5,05,霊天　～ Spiritual Heaven,２面ボス・ルイズのテーマ,東方怪綺談　～ Mystic Square
6,06,Romantic Children,３面テーマ,東方怪綺談　～ Mystic Square
7,07,プラスチックマインド,３面ボス・アリスのテーマ１,東方怪綺談　～ Mystic Square
8,08,メイプルワイズ,４面テーマ,東方怪綺談　～ Mystic Square
9,09,禁断の魔法　～ Forbidden Magic,４面ボス・ユキ＆マイのテーマ,東方怪綺談　～ Mystic Square
10,10,真紅の少女　～ Crimson Dead!!,４面ボス・ユキのテーマ,東方怪綺談　～ Mystic Square
11,11,裏切りの少女　～ Judas Kiss,４面ボス・マイのテーマ,東方怪綺談　～ Mystic Square
12,12,the Last Judgement,５面テーマ,東方怪綺談　～ Mystic Square
13,13,悲しき人形　～ Doll of Misery,５面ボス・夢子のテーマ,東方怪綺談　～ Mystic Square
14,14,世界の果て　～ World's End,最終面テーマ,東方怪綺談　～ Mystic Square
15,15,神話幻想　～ Infinite Being,最終面ボス・神綺のテーマ,東方怪綺談　～ Mystic Square
16,16,不思議の国のアリス,エキストラステージテーマ,東方怪綺談　～ Mystic Square
17,17,the Grimoire of Alice,エキストラボス・アリスのテーマ２,東方怪綺談　～ Mystic Square
18,18,神社,バッドエンドテーマ,東方怪綺談　～ Mystic Square
19,19,Endless,グッドエンドテーマ１,東方怪綺談　～ Mystic Square
20,20,久遠の楽園,グッドエンドテーマ２,東方怪綺談　～ Mystic Square
21,21,Mystic Dream,スタッフロールテーマ,東方怪綺談　～ Mystic Square
22,22,Peaceful Romancer,エキストラエンディングテーマ,東方怪綺談　～ Mystic Square
23,23,魂の休らむ所,ネームレジストテーマ,東方怪綺談　～ Mystic Square
1,01,秋霜玉　～ Clockworks,タイトル曲,秋霜玉
2,02,フォルスストロベリー,１面テーマ,秋霜玉
3,03,プリムローズシヴァ,１面ボス・ミリアのテーマ,秋霜玉
4,04,幻想帝都,２面テーマ,秋霜玉
5,05,ディザストラスジェミニ,２面ボス・めい＆まいのテーマ,秋霜玉
6,06,華の幻想　紅夢の宙,３面テーマ,秋霜玉
7,07,天空アーミー,３面ボス・ゲイツのテーマ,秋霜玉
8,08,スプートニク幻夜,４面テーマ,秋霜玉
9,09,機械サーカス　～ Reverie,４面ボス・マリーのテーマ,秋霜玉
10,10,カナベラルの夢幻少女,５面テーマ,秋霜玉
11,11,魔法少女十字軍,５面ボス・エーリッヒのテーマ,秋霜玉
12,12,アンティークテラー,最終面テーマ,秋霜玉
13,13,夢機械　～ Innocent Power,最終ボステーマ１,秋霜玉
14,14,幻想科学　～ Doll's Phantom,最終ボステーマ２,秋霜玉
15,15,少女神性　～ Pandora's Box,最終ボステーマ３,秋霜玉
16,16,シルクロードアリス,エキストラステージテーマ,秋霜玉
17,17,魔女達の舞踏会　～ Magus,エキストラボス・魔理沙のテーマ,秋霜玉
18,18,二色蓮花蝶　～ Ancients,エキストラボス・霊夢のテーマ,秋霜玉
19,19,ハーセルヴズ,エンディングテーマ,秋霜玉
20,20,タイトルドメイド,ネームレジストテーマ,秋霜玉
1,01,稀翁玉　～ Fairy Dance,タイトル画面テーマ,稀翁玉
2,02,天鵞絨少女戦　～ Velvet Battle,VIVITのテーマ,稀翁玉
3,03,Castle Explorer -in the Sky-,ゲイツのテーマ,稀翁玉
4,04,オルフェの詩　～ Pseudoclassic,めい＆まいのテーマ,稀翁玉
5,05,新幻想　～ New Fantasy,ミリアのテーマ,稀翁玉
6,06,オルレアンの聖騎士,マリーのテーマ,稀翁玉
7,07,"My Maid, Sweet Maid",エーリッヒのテーマ,稀翁玉
8,08,桜花之恋塚　～ Flower of Japan,幽香のテーマ,稀翁玉
9,09,乙女戦士　～ Heart of Valkyrie,モーガンのテーマ,稀翁玉
10,10,エニグマティクドール　～ God Knows,ミューズのテーマ,稀翁玉
1,01,Witch of Love Potion,通常面テーマ,トルテルマジック
2,02,Magical and Hopeless,シューのテーマ,トルテルマジック
3,03,Sacred Battle,コアントローのテーマ,トルテルマジック
1,-,シンデレラケージ　～ Kagome-Kagome,東方永夜抄より,Cradle - 東方幻樂祀典 -
2,-,妖々跋扈　～ Speed Fox!,東方妖々夢『博麗神社例大祭』スコアアタックより,Cradle - 東方幻樂祀典 -
1,-,呑んべぇのレムリア,3面ボス・甘粕・バーレイ・天治のテーマ,黄昏酒場～Uwabami Breakers～
1,-,AN ORDEAL FROM GOD,５面テーマ,神魔討綺伝 ～ Magus in Mystic Geometries.
1,-,キュアリアス上海古牌,「香霖堂」卓３戦目のテーマ,東方幻想麻雀 - Touhou Unreal Mahjong
2,-,神魔討綺伝 AN ORDEAL FROM GOD,ストーリークリア後選択可能（※神魔討綺伝提供曲と同一）,東方幻想麻雀 - Touhou Unreal Mahjong
1,-,宵闇の魔術師,オリジナル,メニュー
2,-,Magic of Life,オリジナル,メニュー
3,-,Plastic Space,秋霜玉プロトタイプBGM,メニュー
4,-,Frontal Attack,秋霜玉プロトタイプBGM,メニュー
5,-,Inventive City,秋霜玉プロトタイプBGM,メニュー
6,-,夢幻回廊,オリジナル,メニュー
7,-,蓬莱幻想　～ far East,秋霜玉エキストラステージテーマ（未使用）,メニュー
8,-,魔法少女十字軍　～ Little Little Crusader,秋霜玉５面ボステーマ,メニュー
9,-,夜の鳩山を飛ぶ,秋霜玉プロトタイプBGM,メニュー
