,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"maincharpower[12, 4]",0.2,0.093,0.039,0.3,0.046,0.035,5.0,16.0,3.04
"maincharpower[13, 0]",0.19,0.074,0.073,0.277,0.037,0.028,5.0,13.0,3.18
"maincharpower[13, 1]",0.166,0.063,0.051,0.233,0.031,0.024,5.0,12.0,2.45
"maincharpower[13, 2]",0.166,0.071,0.063,0.268,0.035,0.027,4.0,11.0,3.14
"maincharpower[13, 3]",0.191,0.083,0.072,0.313,0.041,0.032,5.0,22.0,3.07
"maincharpower[13, 4]",0.185,0.075,0.071,0.285,0.037,0.028,5.0,15.0,2.94
"maincharpower[14, 0]",0.21,0.1,0.063,0.356,0.05,0.038,4.0,11.0,3.32
"maincharpower[14, 1]",0.194,0.086,0.069,0.297,0.043,0.033,4.0,12.0,3.42
"maincharpower[14, 2]",0.17,0.07,0.036,0.279,0.034,0.026,4.0,11.0,3.22
"maincharpower[14, 3]",0.183,0.071,0.063,0.289,0.035,0.027,4.0,12.0,3.08
"maincharpower[14, 4]",0.198,0.118,0.069,0.37,0.059,0.045,5.0,23.0,2.68
"maincharpower[15, 0]",0.193,0.089,0.066,0.304,0.044,0.034,5.0,19.0,2.85
"maincharpower[15, 1]",0.2,0.1,0.067,0.348,0.05,0.038,4.0,11.0,3.38
"maincharpower[15, 2]",0.178,0.091,0.056,0.29,0.045,0.035,4.0,12.0,3.46
"maincharpower[15, 3]",0.185,0.1,0.055,0.355,0.05,0.038,4.0,12.0,3.31
"maincharpower[15, 4]",0.177,0.079,0.05,0.297,0.038,0.029,5.0,12.0,3.05
"maincharpower[16, 0]",0.179,0.066,0.081,0.272,0.033,0.025,4.0,16.0,3.24
"maincharpower[16, 1]",0.198,0.1,0.072,0.385,0.05,0.038,5.0,27.0,2.96
"maincharpower[16, 2]",0.174,0.071,0.054,0.28,0.035,0.027,5.0,19.0,2.88
"maincharpower[16, 3]",0.196,0.093,0.047,0.341,0.046,0.035,4.0,11.0,3.65
"maincharpower[16, 4]",0.171,0.112,0.043,0.339,0.056,0.043,5.0,13.0,2.98
"maincharpower[17, 0]",0.132,0.051,0.055,0.215,0.025,0.019,5.0,21.0,3.14
"maincharpower[17, 1]",0.18,0.071,0.047,0.282,0.035,0.027,5.0,11.0,2.98
"maincharpower[17, 2]",0.207,0.11,0.059,0.372,0.054,0.042,4.0,16.0,3.39
"maincharpower[17, 3]",0.183,0.081,0.063,0.337,0.04,0.03,4.0,12.0,3.26
"maincharpower[17, 4]",0.191,0.112,0.053,0.356,0.056,0.043,5.0,12.0,3.09
"bosspower[0, 0]",0.189,0.053,0.127,0.272,0.025,0.019,5.0,20.0,2.42
"bosspower[0, 1]",0.228,0.084,0.101,0.394,0.039,0.03,5.0,13.0,2.46
"bosspower[0, 2]",0.24,0.102,0.105,0.425,0.051,0.039,4.0,11.0,3.48
"bosspower[0, 3]",0.205,0.138,0.07,0.438,0.068,0.052,4.0,13.0,3.52
"bosspower[0, 4]",0.235,0.109,0.079,0.428,0.052,0.041,5.0,16.0,2.59
"bosspower[1, 0]",0.199,0.094,0.049,0.336,0.047,0.036,4.0,11.0,3.38
"bosspower[1, 1]",0.17,0.038,0.101,0.235,0.018,0.014,5.0,15.0,2.75
"bosspower[1, 2]",0.193,0.077,0.094,0.296,0.038,0.029,5.0,20.0,2.51
"bosspower[1, 3]",0.227,0.095,0.133,0.405,0.046,0.035,5.0,11.0,2.9
"bosspower[1, 4]",0.179,0.102,0.045,0.372,0.049,0.038,6.0,14.0,2.65
"bosspower[2, 0]",0.176,0.057,0.107,0.268,0.025,0.019,6.0,21.0,1.95
"bosspower[2, 1]",0.231,0.123,0.069,0.445,0.061,0.047,5.0,15.0,3.05
"bosspower[2, 2]",0.16,0.077,0.067,0.313,0.034,0.026,6.0,12.0,2.11
"bosspower[2, 3]",0.209,0.086,0.125,0.381,0.042,0.032,5.0,14.0,2.49
"bosspower[2, 4]",0.212,0.078,0.117,0.323,0.038,0.029,5.0,14.0,2.89
"bosspower[3, 0]",0.221,0.086,0.124,0.363,0.041,0.031,5.0,17.0,2.61
"bosspower[3, 1]",0.2,0.059,0.147,0.31,0.028,0.022,5.0,16.0,2.17
"bosspower[3, 2]",0.17,0.099,0.022,0.302,0.048,0.037,5.0,21.0,2.96
"bosspower[3, 3]",0.198,0.042,0.113,0.259,0.018,0.014,5.0,14.0,2.18
"bosspower[3, 4]",0.138,0.036,0.07,0.213,0.016,0.012,5.0,11.0,2.13
"bosspower[4, 0]",0.22,0.188,0.033,0.565,0.094,0.072,4.0,11.0,4.06
"bosspower[4, 1]",0.199,0.127,0.018,0.414,0.063,0.048,4.0,14.0,3.51
"bosspower[4, 2]",0.197,0.087,0.068,0.351,0.042,0.033,5.0,15.0,2.44
"bosspower[4, 3]",0.199,0.067,0.114,0.32,0.031,0.024,6.0,19.0,2.34
"bosspower[4, 4]",0.261,0.14,0.073,0.547,0.068,0.052,5.0,11.0,2.37
"bosspower[5, 0]",0.237,0.051,0.186,0.345,0.022,0.017,7.0,14.0,1.76
"bosspower[5, 1]",0.229,0.076,0.135,0.355,0.037,0.028,5.0,27.0,2.06
"bosspower[5, 2]",0.222,0.068,0.13,0.33,0.03,0.022,6.0,27.0,1.75
"bosspower[5, 3]",0.212,0.11,0.108,0.409,0.054,0.042,5.0,22.0,2.66
"bosspower[5, 4]",0.173,0.062,0.115,0.301,0.027,0.021,7.0,28.0,2.06
"bosspower[6, 0]",0.162,0.049,0.1,0.253,0.023,0.017,6.0,17.0,2.02
"bosspower[6, 1]",0.196,0.077,0.117,0.329,0.037,0.028,4.0,13.0,3.38
"bosspower[6, 2]",0.225,0.093,0.133,0.403,0.046,0.035,5.0,19.0,2.47
"bosspower[6, 3]",0.254,0.07,0.177,0.367,0.034,0.026,5.0,22.0,2.26
"bosspower[6, 4]",0.191,0.069,0.097,0.308,0.034,0.026,4.0,11.0,3.14
"bosspower[7, 0]",0.191,0.11,0.061,0.388,0.054,0.042,5.0,13.0,2.55
"bosspower[7, 1]",0.233,0.123,0.099,0.457,0.06,0.046,5.0,25.0,2.6
"bosspower[7, 2]",0.228,0.073,0.073,0.314,0.035,0.027,5.0,24.0,2.63
"bosspower[7, 3]",0.224,0.122,0.087,0.454,0.06,0.046,5.0,11.0,2.7
"bosspower[7, 4]",0.244,0.11,0.112,0.442,0.054,0.041,6.0,20.0,2.13
"bosspower[8, 0]",0.236,0.114,0.122,0.461,0.055,0.042,6.0,60.0,2.34
"bosspower[8, 1]",0.197,0.078,0.124,0.352,0.036,0.028,5.0,11.0,2.27
"bosspower[8, 2]",0.17,0.078,0.043,0.315,0.038,0.029,5.0,17.0,2.85
"bosspower[8, 3]",0.202,0.108,0.079,0.423,0.052,0.04,6.0,15.0,2.56
"bosspower[8, 4]",0.155,0.065,0.078,0.269,0.031,0.024,5.0,12.0,2.4
"bosspower[9, 0]",0.193,0.076,0.129,0.341,0.036,0.028,6.0,22.0,1.82
"bosspower[9, 1]",0.199,0.094,0.123,0.383,0.045,0.034,5.0,26.0,2.36
"bosspower[9, 2]",0.18,0.06,0.054,0.272,0.027,0.021,5.0,13.0,2.39
"bosspower[9, 3]",0.21,0.088,0.081,0.378,0.041,0.032,5.0,12.0,2.13
"bosspower[9, 4]",0.193,0.087,0.066,0.347,0.041,0.032,5.0,16.0,2.56
"bosspower[10, 0]",0.245,0.154,0.044,0.493,0.077,0.059,4.0,12.0,3.52
"bosspower[10, 1]",0.253,0.077,0.133,0.362,0.036,0.028,5.0,24.0,2.21
"bosspower[10, 2]",0.226,0.123,0.093,0.475,0.06,0.046,5.0,12.0,2.66
"bosspower[10, 3]",0.187,0.139,0.005,0.415,0.069,0.053,4.0,12.0,3.13
"bosspower[10, 4]",0.191,0.117,0.092,0.406,0.057,0.044,5.0,12.0,2.84
"bosspower[11, 0]",0.232,0.059,0.166,0.346,0.029,0.022,6.0,27.0,1.81
"bosspower[11, 1]",0.2,0.1,0.062,0.317,0.049,0.038,4.0,15.0,3.41
"bosspower[11, 2]",0.234,0.063,0.154,0.339,0.029,0.023,6.0,12.0,1.81
"bosspower[11, 3]",0.182,0.097,0.09,0.355,0.048,0.037,5.0,11.0,3.31
"bosspower[11, 4]",0.232,0.153,0.052,0.491,0.075,0.058,5.0,12.0,2.65
"bosspower[12, 0]",0.201,0.06,0.133,0.333,0.028,0.021,6.0,12.0,2.44
"bosspower[12, 1]",0.258,0.093,0.157,0.43,0.046,0.035,5.0,17.0,2.62
"bosspower[12, 2]",0.196,0.05,0.136,0.317,0.022,0.017,6.0,11.0,1.82
"bosspower[12, 3]",0.194,0.092,0.087,0.347,0.044,0.033,5.0,22.0,2.43
"bosspower[12, 4]",0.197,0.167,0.003,0.488,0.083,0.064,4.0,11.0,4.21
"bosspower[13, 0]",0.207,0.079,0.078,0.338,0.038,0.03,5.0,25.0,2.58
"bosspower[13, 1]",0.185,0.093,0.091,0.349,0.045,0.035,4.0,11.0,3.46
"bosspower[13, 2]",0.202,0.08,0.101,0.332,0.039,0.03,5.0,26.0,2.68
"bosspower[13, 3]",0.203,0.109,0.1,0.434,0.053,0.041,5.0,11.0,3.2
"bosspower[13, 4]",0.231,0.057,0.135,0.301,0.027,0.021,5.0,25.0,2.34
"bosspower[14, 0]",0.219,0.087,0.116,0.357,0.043,0.033,4.0,16.0,3.21
"bosspower[14, 1]",0.209,0.118,0.044,0.399,0.059,0.045,5.0,22.0,2.94
"bosspower[14, 2]",0.202,0.08,0.116,0.347,0.04,0.03,5.0,11.0,3.02
"bosspower[14, 3]",0.208,0.111,0.061,0.398,0.055,0.042,5.0,11.0,2.78
"bosspower[14, 4]",0.193,0.092,0.096,0.353,0.045,0.035,5.0,13.0,2.73
"bosspower[15, 0]",0.197,0.115,0.07,0.382,0.055,0.042,5.0,15.0,2.56
"bosspower[15, 1]",0.225,0.147,0.038,0.496,0.072,0.055,5.0,11.0,2.9
"bosspower[15, 2]",0.245,0.109,0.118,0.444,0.054,0.041,5.0,11.0,2.45
"bosspower[15, 3]",0.226,0.069,0.141,0.319,0.031,0.024,5.0,27.0,2.21
"bosspower[15, 4]",0.179,0.103,0.003,0.315,0.05,0.039,4.0,13.0,3.21
"bosspower[16, 0]",0.161,0.155,0.005,0.406,0.077,0.059,4.0,17.0,3.42
"bosspower[16, 1]",0.234,0.058,0.124,0.333,0.026,0.021,5.0,16.0,2.37
"bosspower[16, 2]",0.183,0.091,0.08,0.331,0.043,0.033,5.0,15.0,2.68
"bosspower[16, 3]",0.221,0.105,0.064,0.408,0.049,0.039,5.0,19.0,2.52
"bosspower[16, 4]",0.238,0.124,0.128,0.464,0.06,0.047,5.0,14.0,2.29
