,名前,12回目ポイント,16回目ポイント,13回目ポイント,15回目ポイント,17回目ポイント,20回目ポイント,18回目ポイント,19回目ポイント,21回目ポイント,14回目ポイント,10回目ポイント,5回目ポイント,9回目ポイント,4回目ポイント,3回目ポイント,2回目ポイント,7回目ポイント,11回目ポイント,8回目ポイント,6回目ポイント,1回目ポイント
50,ミスティア・ローレライ,2057.0,1147.0,1847.0,1040.0,1109.0,,1401.0,1501.0,,1302.0,1283.0,815.0,2157.0,296.0,120.0,,1807.0,1240.0,1832.0,1329.0,
51,マエリベリー・ハーン,1951.0,1705.0,1760.0,1348.0,1423.0,,1668.0,1762.0,,1568.0,929.0,190.0,871.0,25.0,,,511.0,1231.0,725.0,279.0,
52,宇佐見 菫子,1934.0,1164.0,1549.0,1175.0,1385.0,,1506.0,1213.0,,1400.0,,,,,,,,1364.0,,,
53,霍 青娥,1873.0,1309.0,1538.0,929.0,1326.0,,1767.0,1531.0,,1245.0,1396.0,,2344.0,,,,,1272.0,,,
54,橙,1862.0,1290.0,1492.0,909.0,1264.0,,1780.0,1946.0,,1207.0,944.0,920.0,1637.0,157.0,302.0,142（120）,1684.0,1077.0,1545.0,1399.0,43.0
55,赤蛮奇,1816.0,1087.0,1493.0,870.0,1176.0,,1385.0,1454.0,,1115.0,1153.0,,,,,,,1079.0,,,
56,本居 小鈴,1728.0,1303.0,1550.0,958.0,1125.0,,1262.0,1330.0,,1357.0,1162.0,,,,,,,1042.0,,,
57,大妖精,1714.0,1366.0,1365.0,1067.0,1273.0,,1464.0,1517.0,,1170.0,1078.0,238.0,2149.0,43.0,13.0,,1204.0,1022.0,1613.0,592.0,
58,八意 永琳,1684.0,1346.0,1505.0,1014.0,1724.0,,2011.0,1829.0,,1166.0,1133.0,1298.0,1725.0,387.0,387.0,,1765.0,1034.0,1680.0,1581.0,
59,小野塚 小町,1630.0,1128.0,1267.0,850.0,1090.0,,1259.0,1105.0,,983.0,1204.0,855.0,2234.0,237.0,,,1988.0,1091.0,1939.0,1728.0,
60,二ッ岩 マミゾウ,1601.0,893.0,1306.0,688.0,964.0,,1238.0,1302.0,,1104.0,1122.0,,1298.0,,,,,1343.0,,,
61,小悪魔,1558.0,1069.0,1358.0,862.0,1141.0,,1831.0,1628.0,,1168.0,740.0,455.0,1451.0,148.0,65.0,7（7）,1031.0,745.0,1124.0,823.0,
62,堀川 雷鼓,1544.0,807.0,1226.0,759.0,830.0,,951.0,840.0,,1104.0,1060.0,,,,,,,887.0,,,
63,寅丸 星,1530.0,766.0,1146.0,627.0,651.0,,776.0,746.0,,805.0,1220.0,,2027.0,,,,2158.0,1012.0,2399.0,,
64,姫海棠 はたて,1529.0,1024.0,1547.0,926.0,1072.0,,1201.0,1145.0,,1169.0,1126.0,,1838.0,,,,,944.0,1926.0,,
65,星熊 勇儀,1524.0,946.0,1198.0,675.0,1125.0,,1366.0,1194.0,,927.0,922.0,,1429.0,,,,1328.0,901.0,1256.0,1189.0,
66,因幡 てゐ,1492.0,999.0,1345.0,761.0,1176.0,,1452.0,1414.0,,1035.0,841.0,744.0,1198.0,155.0,234.0,,1076.0,897.0,1239.0,932.0,
67,ドレミー・スイート,1400.0,1595.0,1146.0,1564.0,1649.0,,1902.0,1651.0,,2623.0,,,,,,,,,,,
68,稗田 阿求,1391.0,1060.0,1278.0,758.0,917.0,,960.0,1112.0,,981.0,956.0,413.0,1294.0,,,,859.0,785.0,839.0,649.0,
69,幽谷 響子,1353.0,736.0,1104.0,719.0,617.0,,620.0,606.0,,925.0,844.0,,1440.0,,,,,786.0,,,
70,八坂 神奈子,1308.0,927.0,1243.0,685.0,1015.0,,1222.0,1287.0,,1015.0,1205.0,773.0,2228.0,,,,2462.0,952.0,2172.0,1659.0,
71,村紗 水蜜,1305.0,1076.0,1097.0,762.0,1613.0,,1714.0,1590.0,,987.0,956.0,,1394.0,,,,1765.0,830.0,1556.0,,
72,ルナサ・プリズムリバー,1281.0,777.0,988.0,590.0,903.0,,1038.0,1060.0,,873.0,771.0,808.0,1250.0,266.0,246.0,161（125）,1365.0,793.0,1246.0,1090.0,
73,森近 霖之助,1248.0,977.0,1084.0,612.0,1003.0,,1278.0,1173.0,,873.0,891.0,659.0,1580.0,139.0,43.0,,1647.0,868.0,1558.0,1225.0,
74,神綺,1116.0,726.0,899.0,567.0,661.0,,921.0,903.0,,722.0,563.0,320.0,836.0,91.0,29.0,1（1）,722.0,561.0,685.0,451.0,
75,蘇我 屠自古,1095.0,1119.0,1109.0,781.0,1072.0,,1286.0,1140.0,,960.0,647.0,,944.0,,,,,598.0,,,
76,易者,1083.0,684.0,1381.0,756.0,518.0,,628.0,472.0,,1161.0,,,,,,,,129.0,,,
77,秋 静葉,1077.0,623.0,1041.0,584.0,722.0,,934.0,873.0,,900.0,899.0,120.0,1684.0,,,,1480.0,738.0,1576.0,706.0,
78,岡崎 夢美,1048.0,701.0,814.0,538.0,621.0,,735.0,767.0,,625.0,731.0,99.0,1049.0,12.0,,,643.0,715.0,816.0,339.0,1.0
79,秋 穣子,983.0,620.0,942.0,537.0,708.0,,871.0,811.0,,734.0,881.0,97.0,1647.0,,,,1523.0,678.0,1615.0,712.0,
80,黒谷 ヤマメ,979.0,495.0,800.0,488.0,581.0,,669.0,576.0,,642.0,691.0,,1147.0,,,,629.0,604.0,996.0,386.0,
81,宮古 芳香,957.0,703.0,791.0,479.0,773.0,,1001.0,853.0,,659.0,636.0,,1509.0,,,,,561.0,,,
82,雲居 一輪,909.0,477.0,768.0,404.0,479.0,,485.0,438.0,,703.0,757.0,,812.0,,,,784.0,841.0,1000.0,,
83,わかさぎ姫,908.0,703.0,771.0,518.0,662.0,,798.0,692.0,,655.0,702.0,,,,,,,560.0,,,
84,リグル・ナイトバグ,886.0,658.0,860.0,529.0,897.0,,1164.0,1108.0,,625.0,603.0,410.0,956.0,100.0,64.0,,962.0,617.0,856.0,725.0,
85,メディスン・メランコリー,872.0,761.0,780.0,463.0,696.0,,1029.0,866.0,,671.0,723.0,306.0,1049.0,93.0,,,856.0,623.0,971.0,500.0,
