,名前,charid,Unnamed: 0,初出作品,初出番号,初出年,CD(秘封),書籍のみ,整数boss,整数自機,非整数自機,非整数boss,整数自機回数,非整数自機回数,oldcharid
0,宇佐見蓮子,79,87,CD,-1.0,2003,1,0,0,,,,,,87.0
1,宇佐見蓮子,140,87,CD,-1.0,2003,1,0,0,,,,,,87.0
2,マエリベリー・ハーン,80,88,CD,-1.0,2003,1,0,0,,,,,,88.0
