,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"maincharpower[12, 4]",0.449,0.368,0.01,1.056,0.016,0.012,489.0,989.0,1.01
"maincharpower[13, 0]",0.455,0.38,0.011,1.078,0.019,0.014,443.0,527.0,1.02
"maincharpower[13, 1]",0.455,0.384,0.012,1.081,0.021,0.015,441.0,501.0,1.02
"maincharpower[13, 2]",0.455,0.386,0.012,1.082,0.021,0.015,443.0,501.0,1.02
"maincharpower[13, 3]",0.452,0.379,0.009,1.067,0.021,0.015,444.0,486.0,1.02
"maincharpower[13, 4]",0.452,0.38,0.012,1.07,0.019,0.014,461.0,486.0,1.02
"maincharpower[14, 0]",0.461,0.393,0.015,1.117,0.02,0.014,436.0,466.0,1.02
"maincharpower[14, 1]",0.452,0.372,0.008,1.079,0.018,0.013,460.0,537.0,1.02
"maincharpower[14, 2]",0.46,0.393,0.01,1.103,0.021,0.015,438.0,468.0,1.02
"maincharpower[14, 3]",0.453,0.37,0.013,1.074,0.018,0.013,465.0,554.0,1.02
"maincharpower[14, 4]",0.451,0.376,0.0,1.074,0.019,0.013,452.0,518.0,1.02
"maincharpower[15, 0]",0.456,0.383,0.012,1.086,0.018,0.013,467.0,871.0,1.01
"maincharpower[15, 1]",0.473,0.419,0.009,1.148,0.023,0.016,423.0,427.0,1.02
"maincharpower[15, 2]",0.454,0.376,0.012,1.081,0.02,0.014,445.0,442.0,1.02
"maincharpower[15, 3]",0.46,0.382,0.013,1.106,0.019,0.014,439.0,493.0,1.02
"maincharpower[15, 4]",0.452,0.374,0.016,1.068,0.017,0.012,460.0,915.0,1.02
"maincharpower[16, 0]",0.452,0.376,0.01,1.075,0.018,0.013,476.0,548.0,1.02
"maincharpower[16, 1]",0.469,0.413,0.012,1.139,0.021,0.015,433.0,430.0,1.02
"maincharpower[16, 2]",0.488,0.452,0.013,1.197,0.024,0.017,421.0,469.0,1.02
"maincharpower[16, 3]",0.453,0.375,0.014,1.089,0.018,0.013,465.0,617.0,1.02
"maincharpower[16, 4]",0.478,0.424,0.011,1.169,0.021,0.015,436.0,477.0,1.01
"maincharpower[17, 0]",0.458,0.39,0.013,1.094,0.022,0.015,422.0,540.0,1.02
"maincharpower[17, 1]",0.455,0.376,0.013,1.074,0.019,0.014,444.0,482.0,1.02
"maincharpower[17, 2]",0.48,0.445,0.007,1.15,0.023,0.016,424.0,439.0,1.01
