,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
indivisual[102],0.142,0.063,0.022,0.254,0.001,0.001,2128.0,1897.0,1.0
indivisual[103],0.588,0.125,0.359,0.819,0.001,0.001,10927.0,5124.0,1.0
indivisual[104],0.357,0.083,0.214,0.521,0.001,0.001,12576.0,5712.0,1.0
indivisual[105],0.288,0.069,0.166,0.417,0.001,0.0,10221.0,5714.0,1.0
indivisual[106],0.568,0.119,0.358,0.792,0.001,0.001,11089.0,5477.0,1.0
indivisual[107],0.38,0.088,0.221,0.545,0.001,0.001,11492.0,4903.0,1.0
indivisual[108],0.306,0.074,0.176,0.447,0.001,0.001,10985.0,5184.0,1.0
indivisual[109],0.351,0.081,0.202,0.505,0.001,0.001,10290.0,5709.0,1.0
indivisual[110],0.454,0.101,0.277,0.656,0.001,0.001,11297.0,5258.0,1.0
indivisual[111],1.163,0.211,0.773,1.56,0.002,0.001,11142.0,5144.0,1.0
indivisual[112],0.355,0.081,0.209,0.507,0.001,0.001,11134.0,5732.0,1.0
indivisual[113],0.136,0.037,0.069,0.205,0.0,0.0,8481.0,4913.0,1.0
indivisual[114],0.146,0.038,0.075,0.215,0.0,0.0,7848.0,5056.0,1.0
indivisual[115],0.125,0.034,0.064,0.189,0.0,0.0,8278.0,4513.0,1.0
indivisual[116],0.112,0.032,0.055,0.171,0.0,0.0,6254.0,4384.0,1.0
indivisual[117],0.069,0.022,0.03,0.112,0.0,0.0,4419.0,2954.0,1.0
indivisual[118],0.095,0.027,0.048,0.148,0.0,0.0,5474.0,4374.0,1.0
indivisual[119],0.322,0.078,0.182,0.471,0.001,0.001,11828.0,5227.0,1.0
indivisual[120],0.444,0.105,0.255,0.646,0.001,0.001,10939.0,5467.0,1.0
indivisual[121],0.459,0.104,0.264,0.654,0.001,0.001,11122.0,5626.0,1.0
indivisual[122],0.412,0.096,0.239,0.592,0.001,0.001,12352.0,5253.0,1.0
indivisual[123],0.439,0.101,0.255,0.626,0.001,0.001,13101.0,5097.0,1.0
indivisual[124],0.34,0.081,0.192,0.494,0.001,0.001,10385.0,4980.0,1.0
indivisual[125],0.443,0.099,0.27,0.637,0.001,0.001,12954.0,5764.0,1.0
indivisual[126],0.315,0.076,0.179,0.461,0.001,0.001,10428.0,5289.0,1.0
indivisual[127],1.916,0.306,1.369,2.498,0.003,0.002,11820.0,5092.0,1.0
