,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"inttitlepow[3, 7]",0.258,0.031,0.198,0.314,0.002,0.001,287.0,1138.0,1.02
"inttitlepow[3, 8]",0.322,0.037,0.252,0.392,0.002,0.002,256.0,1040.0,1.03
"inttitlepow[3, 9]",0.321,0.037,0.256,0.393,0.002,0.002,264.0,1070.0,1.02
"inttitlepow[3, 10]",0.311,0.036,0.244,0.377,0.002,0.002,256.0,1017.0,1.02
"inttitlepow[3, 11]",0.307,0.036,0.239,0.375,0.002,0.002,268.0,1093.0,1.02
"inttitlepow[3, 12]",0.31,0.036,0.243,0.377,0.002,0.002,270.0,956.0,1.02
"inttitlepow[3, 13]",0.332,0.038,0.263,0.404,0.002,0.002,259.0,1173.0,1.02
"inttitlepow[3, 14]",0.316,0.036,0.251,0.385,0.002,0.002,261.0,1108.0,1.02
"inttitlepow[3, 15]",0.261,0.073,0.124,0.401,0.002,0.001,1923.0,2942.0,1.0
"inttitlepow[3, 16]",0.261,0.073,0.123,0.395,0.002,0.001,2285.0,3872.0,1.0
"inttitlepow[3, 17]",0.261,0.076,0.118,0.403,0.002,0.002,1287.0,1853.0,1.0
"inttitlepow[4, 0]",0.242,0.024,0.198,0.289,0.002,0.001,188.0,696.0,1.02
"inttitlepow[4, 1]",0.257,0.024,0.212,0.303,0.002,0.001,166.0,566.0,1.02
"inttitlepow[4, 2]",0.271,0.025,0.225,0.319,0.002,0.001,183.0,598.0,1.02
"inttitlepow[4, 3]",0.31,0.029,0.258,0.365,0.002,0.002,159.0,517.0,1.03
"inttitlepow[4, 4]",0.305,0.028,0.254,0.359,0.003,0.002,137.0,581.0,1.03
"inttitlepow[4, 5]",0.304,0.028,0.254,0.359,0.003,0.002,117.0,509.0,1.03
"inttitlepow[4, 6]",0.28,0.026,0.233,0.329,0.002,0.002,153.0,536.0,1.03
"inttitlepow[4, 7]",0.331,0.03,0.277,0.39,0.003,0.002,114.0,528.0,1.03
"inttitlepow[4, 8]",0.324,0.03,0.271,0.38,0.002,0.002,145.0,444.0,1.03
"inttitlepow[4, 9]",0.311,0.029,0.259,0.364,0.002,0.002,148.0,460.0,1.03
"inttitlepow[4, 10]",0.306,0.028,0.254,0.358,0.002,0.002,148.0,418.0,1.03
"inttitlepow[4, 11]",0.309,0.028,0.259,0.364,0.002,0.002,135.0,487.0,1.03
"inttitlepow[4, 12]",0.299,0.028,0.251,0.353,0.002,0.002,151.0,460.0,1.03
"inttitlepow[4, 13]",0.3,0.027,0.249,0.352,0.002,0.002,143.0,511.0,1.03
